1646500,lfalls,Potomac River at Little Falls
1645000,seneca,Seneca Cr at Dawsonville
1644000,goose,Goose Cr near Leesburg
1643000,mon_jug,Monocacy at Jug Br
1638500,por,Potomac River at Point of Rocks
1636500,shen_mill,Shenandoah River at Millville
1619500,antietam,Antietam Cr near Sharpsburg
1616500,opequon,Opequon Cr near Martinsburg
1614500,conoco,Conococheague at Fairview
1613000,hanc,Potomac River at Hancock
1611500,cacapon,Cacapon near Great Cacapon
1610155,sideling,Sideling Hill Cr near Bellegrove
1610000,paw,Potomac River at PawPaw
1609000,town,Town Cr near Oldtown
1608500,sbr,S Br Potomac River near Springfield
1604500,patterson,Patterson Cr near Headsville
1603000,nbp_cumb,N Br Potomac River near Cumberland
1601500,wills,Wills Cr near Cumberland
1598500,luke,N Br Potomac River at Luke
1595800,barnum,N Br Potomac River at Barnum
1597500,bloomington,Savage River below Savage dam near Bloomington
1595500,kitzmiller,N Br Potomac River at Kitzmiller
1596500,barton,Savage River near Barton
1595790,jrr_level,Jennings Randolph Reservoir (water level)
1597490,sav_level,Savage Reservoir (water level)
1644148,edwards_level,Potomac River at Edwards Ferry (water level)
1643500,bennett,Bennett Cr at Park Mills
1591000,unity,Patuxent River near Unity
1591400,cattail,Cattail Cr near Glenwood
1591700,hawlings,Hawlings River near Sandy Spring
1656000,cedar,Cedar Run near Catlett
