date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2019-01-01,14346.41141947,180,490,2580,11445,3472,465,420,1054,4795,774,204,3850,294,1582,261,1242,424,514,282,183,317,75,NA,NA,4,103,52,31,36,112
2019-01-02,14591.41141947,135,344,1260,12215,3364,388,313,780,4725,696,161,3472,216,1354,232,1064,360,388,207,129,267,64,NA,NA,4,73,39,23,23,69
2019-01-03,12736.41141947,106,308,962,10570,2908,360,267,644,3885,592,120,2877,173,1166,212,788,318,266,145,82,246,55,NA,NA,3,66,37,22,21,56
2019-01-04,10671.41141947,76,281,830,9030,2590,338,233,560,3266,522,88,2464,138,1036,202,690,267,364,242,112,233,44,NA,NA,3,59,35,21,20,49
2019-01-05,9411.41141947,82,311,836,8225,2457,378,275,598,2961,469,82,2544,144,980,198,1253,399,644,438,155,313,93,NA,NA,3,62,36,23,21,61
2019-01-06,8991.41141947,71,280,889,7980,2366,354,279,564,3710,472,70,3342,139,1292,196,1288,388,448,259,122,282,107,NA,NA,3,53,32,20,19,52
2019-01-07,8921.41141947,64,241,700,8295,2261,320,231,476,3535,430,55,2734,109,1096,181,830,342,244,142,66,229,76,NA,NA,3,48,30,19,17,42
2019-01-08,8606.41141947,67,230,637,7560,2086,307,215,441,2860,385,53,2310,103,966,176,738,301,244,142,67,215,58,NA,NA,3,49,31,21,18,38
2019-01-09,7731.41141947,84,236,686,6790,1956,307,205,451,2684,371,61,2222,113,910,178,728,290,243,142,67,231,54,NA,NA,3,54,34,23,21,46
2019-01-10,7171.41141947,72,206,630,6475,1858,285,183,406,2538,354,52,2012,94,826,162,693,232,525,385,145,187,42,NA,NA,3,44,29,19,17,37
2019-01-11,6611.41141947,66,186,525,5985,1729,265,164,360,2352,308,44,2100,79,704,139,1054,200,752,546,184,135,36,NA,NA,3,41,27,18,15,30
2019-01-12,5946.41141947,65,179,472,5565,1600,251,154,331,2426,271,39,2054,69,606,115,994,180,668,479,166,117,32,NA,NA,3,40,26,18,15,26
2019-01-13,5841.41141947,73,195,476,5495,1533,248,155,323,2264,258,40,1883,70,564,113,872,175,598,430,155,112,30,NA,NA,3,43,28,19,17,31
2019-01-14,5666.41141947,85,194,476,5285,1502,243,154,312,2114,257,37,1785,65,536,106,822,161,430,285,106,107,27,NA,NA,3,43,27,19,17,34
2019-01-15,5316.41141947,88,178,444,5005,1435,234,147,295,1974,246,33,1477,59,490,102,472,149,191,113,63,103,24,NA,NA,2,40,26,18,17,32
2019-01-16,5001.41141947,84,172,420,4725,1376,226,142,285,1586,231,33,1228,56,455,100,402,138,189,113,63,98,20,NA,NA,2,38,26,18,16,30
2019-01-17,4581.41141947,83,170,420,4305,1330,220,139,275,1484,218,29,1158,51,427,96,385,127,188,112,62,96,18,NA,NA,2,38,26,18,16,30
2019-01-18,4266.41141947,80,174,416,4095,1292,216,140,267,1421,215,27,1113,49,406,96,374,122,202,128,62,97,18,NA,NA,2,39,27,19,18,35
2019-01-19,4266.41141947,88,206,444,4060,1323,215,153,265,1393,219,28,1138,50,427,108,392,122,229,149,63,109,19,NA,NA,2,46,29,22,22,56
2019-01-20,8851.41141947,378,1029,2776,6265,2642,469,746,455,3160,920,98,2944,162,3000,511,826,190,424,344,65,676,42,NA,NA,2,241,130,97,125,410
2019-01-21,13891.41141947,152,497,1802,13510,5320,368,469,507,7805,1236,NA,5355,112,3248,364,861,110,550,451,97,287,30,NA,NA,NA,68,38,NA,29,125
2019-01-22,17111.41141947,123,382,721,14140,4445,290,274,364,4760,679,NA,3416,62,1715,286,788,100,567,438,130,183,22,NA,NA,NA,54,39,NA,20,66
2019-01-23,12141.41141947,118,319,654,9800,3196,280,233,354,3570,542,NA,2800,71,1302,259,808,127,630,504,130,220,18,NA,NA,NA,53,31,19,19,54
2019-01-24,11616.41141947,346,836,1879,9030,2832,424,434,700,3990,770,NA,3440,223,1502,438,1522,364,906,672,189,892,151,NA,NA,3,198,125,82,92,354
2019-01-25,16971.41141947,193,728,3308,14210,3420,644,542,1281,7840,1278,NA,5845,360,2786,465,1911,434,1046,746,250,514,115,NA,NA,4,101,52,29,38,223
2019-01-26,19421.41141947,148,465,1172,16660,4165,444,329,833,6790,924,167,4970,210,2051,378,1624,323,1032,742,248,345,75,NA,NA,4,75,40,23,24,102
2019-01-27,16026.41141947,138,392,899,13195,3570,388,268,644,5075,693,110,3920,153,1488,330,1407,260,738,536,148,285,57,NA,NA,4,66,37,22,21,73
2019-01-28,12596.41141947,117,343,788,10570,2975,354,233,542,3990,560,79,2992,119,1190,297,875,213,483,371,94,247,45,NA,NA,3,59,34,21,20,62
2019-01-29,10391.41141947,102,308,693,8820,2558,324,209,476,3150,465,62,2488,100,1004,268,808,177,476,368,94,219,36,NA,NA,3,54,33,20,19,53
2019-01-30,8711.41141947,85,279,630,7490,2258,303,187,424,2751,406,NA,2177,75,858,239,732,142,382,281,71,153,20,NA,NA,3,48,30,19,18,47
2019-01-31,7416.41141947,62,246,448,6475,1981,273,157,322,2184,288,NA,1624,52,637,211,402,86,187,131,40,93,17,NA,NA,3,60,NA,NA,16,38
2019-02-01,6121.41141947,57,237,410,5180,1729,258,147,284,1550,197,NA,1169,51,497,187,310,78,205,150,40,90,16,NA,NA,3,57,NA,NA,16,40
2019-02-02,5106.41141947,57,235,410,4410,1592,252,146,280,1536,246,NA,1246,55,486,167,406,86,231,168,39,93,15,NA,NA,2,43,NA,NA,16,34
