date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2019-10-07T04:00:00Z,588,22,7,50,668,216,48,31,38,212,27,0,173,2,42,4,101,11,120,NA,16,17,1,502,505,1,5,3,3,4,0
2019-10-07T05:00:00Z,574,23,7,50,662,218,49,31,38,212,27,0,173,2,42,4,101,11,120,68,16,18,1,502,505,1,5,3,3,4,0
2019-10-07T06:00:00Z,574,23,7,50,662,218,50,31,38,212,27,0,173,2,42,4,101,11,120,NA,16,18,1,502,505,1,5,3,3,4,0
2019-10-07T07:00:00Z,574,23,7,50,662,218,52,31,38,212,27,0,173,2,42,4,101,11,120,68,16,18,1,502,505,1,5,3,3,4,0
2019-10-07T08:00:00Z,560,22,7,50,662,218,52,30,38,212,27,0,173,2,42,4,101,11,120,NA,16,18,1,502,505,1,5,3,3,4,0
2019-10-07T09:00:00Z,574,21,7,49,662,221,54,30,38,212,27,0,175,2,42,4,103,11,120,68,16,18,1,502,505,1,5,3,3,4,0
2019-10-07T10:00:00Z,574,20,7,49,654,223,52,30,38,206,27,0,180,2,42,4,103,11,120,NA,16,19,1,502,505,1,5,3,3,4,0
2019-10-07T11:00:00Z,560,20,7,49,654,223,52,29,38,209,27,0,181,2,42,4,105,11,120,67,16,20,1,502,505,1,5,3,3,4,0
2019-10-07T12:00:00Z,574,18,7,49,654,256,51,29,38,209,27,0,178,2,42,4,107,11,120,NA,16,20,1,502,505,1,5,3,3,4,0
2019-10-07T13:00:00Z,574,17,7,49,654,243,50,29,38,209,27,0,178,2,42,4,107,12,120,67,16,20,1,502,505,1,5,3,3,4,0
2019-10-07T14:00:00Z,574,17,7,49,654,231,50,29,38,209,27,0,178,2,42,4,105,12,120,NA,16,21,1,502,505,1,5,3,3,4,0
2019-10-07T15:00:00Z,574,17,7,49,654,223,49,29,38,209,27,0,178,2,42,5,105,12,120,67,16,21,1,502,505,1,5,3,3,4,0
2019-10-07T16:00:00Z,588,17,7,49,654,218,49,30,38,209,27,0,181,2,42,5,105,11,120,67,16,21,1,502,505,1,5,3,3,4,0
2019-10-07T17:00:00Z,588,21,7,49,644,216,51,30,38,209,27,0,181,2,42,5,105,11,120,67,16,21,2,502,505,1,5,3,3,4,0
2019-10-07T18:00:00Z,588,23,7,50,644,214,52,31,38,209,27,0,180,2,42,5,103,11,120,68,16,22,2,502,505,1,5,3,3,4,0
2019-10-07T19:00:00Z,588,23,7,51,662,211,55,31,39,209,28,0,181,2,44,5,103,11,120,68,16,22,2,502,505,1,5,3,3,4,0
2019-10-07T20:00:00Z,588,22,7,51,662,206,57,31,40,209,29,0,181,3,44,5,103,11,120,67,16,22,2,502,505,1,5,3,3,4,0
2019-10-07T21:00:00Z,588,22,7,51,668,204,57,32,40,212,30,0,181,3,44,5,105,11,120,67,16,22,2,502,505,1,5,3,3,4,0
2019-10-07T22:00:00Z,602,21,7,51,NA,202,57,32,40,212,31,0,184,3,45,5,105,12,120,70,16,23,2,502,505,1,5,3,3,4,0
2019-10-07T23:00:00Z,602,21,7,51,NA,197,56,33,42,215,33,0,191,3,48,5,107,13,120,67,16,24,2,502,505,1,5,3,3,4,0
2019-10-08T00:00:00Z,620,20,7,52,NA,158,56,33,43,223,33,0,193,4,48,6,110,13,120,68,16,24,2,502,505,1,5,3,3,4,0
2019-10-08T01:00:00Z,602,18,8,54,686,167,56,35,44,223,34,0,195,4,49,6,112,15,120,67,16,26,2,502,505,1,5,3,3,4,0
2019-10-08T02:00:00Z,602,17,8,54,693,180,57,37,46,223,34,0,200,4,49,6,114,15,120,67,16,27,3,502,505,1,5,3,4,4,0
2019-10-08T03:00:00Z,588,17,8,58,710,187,57,43,46,223,35,0,204,4,49,6,117,15,120,67,16,28,3,502,505,1,5,3,4,4,0
2019-10-08T04:00:00Z,602,17,8,70,710,192,58,41,48,232,35,0,208,4,50,6,117,15,120,68,16,29,3,502,505,1,5,3,3,4,1
2019-10-08T05:00:00Z,602,17,8,82,710,195,59,39,50,232,35,0,210,4,51,7,119,16,120,68,16,30,3,502,505,1,5,3,3,4,1
2019-10-08T06:00:00Z,588,18,8,85,718,197,61,37,50,232,35,0,212,4,51,7,119,15,120,68,16,31,3,502,505,1,5,3,3,4,1
2019-10-08T07:00:00Z,602,20,8,83,728,202,63,36,52,232,35,0,212,4,51,7,119,15,120,68,16,32,4,502,505,1,5,3,4,4,1
2019-10-08T08:00:00Z,588,21,8,79,728,209,69,37,55,234,35,0,212,4,51,7,119,15,120,67,16,34,5,502,505,1,5,3,3,4,1
2019-10-08T09:00:00Z,588,21,8,76,728,216,77,37,59,234,35,0,212,4,51,7,122,15,120,67,16,36,5,502,505,1,5,3,4,4,1
2019-10-08T10:00:00Z,588,20,8,74,718,221,81,36,62,238,35,0,212,4,51,7,122,16,120,67,16,40,5,502,505,1,5,3,3,4,1
2019-10-08T11:00:00Z,574,19,9,73,710,226,81,36,63,238,35,0,210,5,52,7,122,16,120,68,16,43,4,502,505,1,5,3,3,4,1
2019-10-08T12:00:00Z,588,18,9,71,696,259,82,36,63,238,35,0,212,5,52,7,124,16,120,67,16,46,4,502,505,1,5,3,3,4,0
2019-10-08T13:00:00Z,588,17,9,70,696,246,81,36,63,238,35,0,212,5,54,7,124,16,120,67,16,47,4,502,505,1,5,3,3,4,0
2019-10-08T14:00:00Z,602,17,9,70,696,241,79,35,63,238,35,0,215,5,54,7,127,16,120,67,16,49,4,502,505,1,6,3,4,4,0
2019-10-08T15:00:00Z,588,17,9,70,696,238,75,36,64,238,35,0,217,5,55,7,127,16,120,67,16,51,4,502,505,1,6,3,4,4,0
2019-10-08T16:00:00Z,588,17,9,71,704,238,72,36,72,238,35,0,221,5,55,7,129,16,120,66,16,53,4,502,505,1,6,3,4,4,0
2019-10-08T17:00:00Z,588,20,9,71,704,241,69,37,86,238,35,0,223,5,56,8,129,16,120,66,16,61,4,502,505,1,6,3,4,4,0
2019-10-08T18:00:00Z,574,23,9,73,696,246,66,38,94,238,35,0,227,5,57,8,129,16,120,67,16,64,4,502,505,1,6,3,4,4,0
2019-10-08T19:00:00Z,602,24,9,73,704,251,65,NA,96,234,35,0,230,5,58,8,129,16,120,66,16,65,5,502,505,1,6,3,4,4,0
2019-10-08T20:00:00Z,602,23,9,74,704,253,64,57,92,234,35,0,232,5,58,8,129,16,120,66,16,66,5,502,505,1,6,3,4,4,1
2019-10-08T21:00:00Z,602,21,9,75,704,256,64,65,86,234,35,0,232,5,58,8,129,16,120,66,16,66,5,502,505,1,6,3,4,4,1
2019-10-08T22:00:00Z,620,23,9,77,721,253,65,64,82,234,35,0,232,5,59,8,129,15,120,66,16,66,5,502,505,1,6,3,4,4,1
2019-10-08T23:00:00Z,620,22,9,77,721,251,66,62,79,234,35,0,232,5,59,8,129,16,120,66,16,65,5,502,505,1,6,3,4,4,1
2019-10-09T00:00:00Z,602,21,9,76,728,214,66,59,76,238,35,0,230,5,59,8,129,15,120,66,16,64,5,502,505,1,6,3,4,4,1
2019-10-09T01:00:00Z,620,22,9,76,728,218,66,56,73,238,35,0,232,5,59,8,127,15,120,66,16,64,5,502,505,1,6,3,4,4,1
2019-10-09T02:00:00Z,602,23,9,76,728,226,66,52,71,238,35,0,230,5,61,8,127,16,120,66,16,62,5,502,505,1,6,3,4,4,1
2019-10-09T03:00:00Z,602,23,9,75,735,228,65,50,70,240,35,0,232,5,61,8,127,16,120,66,16,61,4,502,505,1,6,3,4,4,1
2019-10-09T04:00:00Z,620,23,9,75,746,226,65,47,69,240,35,0,232,5,61,8,124,16,120,66,16,59,4,502,505,1,6,3,4,4,1
2019-10-09T05:00:00Z,620,23,9,74,752,226,64,46,68,243,34,0,234,5,62,8,124,16,120,66,16,58,4,502,505,1,6,3,4,4,1
2019-10-09T06:00:00Z,620,24,9,74,770,226,63,45,68,243,34,0,234,5,62,8,122,17,120,66,16,57,4,502,505,1,6,3,3,4,1
2019-10-09T07:00:00Z,620,23,9,74,784,226,62,44,67,246,34,0,236,5,63,8,122,17,120,66,16,55,4,502,505,1,6,3,3,4,1
2019-10-09T08:00:00Z,634,23,9,74,802,228,62,43,67,246,34,0,238,5,65,8,122,17,120,66,16,53,4,502,505,1,6,3,3,4,1
2019-10-09T09:00:00Z,634,21,9,74,802,228,61,43,67,246,34,0,240,5,65,8,122,17,120,66,16,52,4,502,505,1,6,3,4,4,1
2019-10-09T10:00:00Z,634,22,9,74,802,231,61,43,66,246,34,0,240,5,67,8,119,17,120,66,16,49,3,502,505,1,6,4,4,4,1
2019-10-09T11:00:00Z,634,20,9,74,802,236,60,43,66,246,NA,0,242,5,67,8,119,18,120,66,16,48,3,502,505,1,5,4,4,4,1
2019-10-09T12:00:00Z,634,18,9,75,802,226,60,43,65,249,34,0,242,5,69,8,119,18,120,66,16,46,3,502,505,1,5,4,4,4,1
2019-10-09T13:00:00Z,634,17,9,76,812,236,60,43,65,249,34,0,242,5,70,8,119,18,120,66,18,44,3,502,505,1,5,4,4,4,1
2019-10-09T14:00:00Z,648,17,9,76,819,241,60,41,65,249,34,0,242,5,72,8,117,18,120,66,19,42,3,502,505,1,5,4,4,4,1
2019-10-09T15:00:00Z,648,17,9,77,802,248,60,41,64,249,34,0,245,5,75,8,117,18,120,66,19,41,3,502,505,1,5,3,4,4,1
