agency,site_no,site,description,date_time,flow,comments
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-01T00:00:00Z,847,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-02T00:00:00Z,803,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-03T00:00:00Z,769,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-04T00:00:00Z,1200,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-05T00:00:00Z,2780,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-06T00:00:00Z,3330,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-07T00:00:00Z,2170,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-08T00:00:00Z,1650,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-09T00:00:00Z,1400,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-10T00:00:00Z,1270,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-11T00:00:00Z,1140,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-12T00:00:00Z,2250,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-13T00:00:00Z,3840,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-14T00:00:00Z,3420,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-15T00:00:00Z,2430,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-16T00:00:00Z,1940,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-17T00:00:00Z,1630,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-18T00:00:00Z,1420,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-19T00:00:00Z,1920,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-20T00:00:00Z,2850,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-21T00:00:00Z,1970,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-22T00:00:00Z,1460,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-23T00:00:00Z,1280,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-24T00:00:00Z,1170,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-25T00:00:00Z,1050,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-26T00:00:00Z,960,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-27T00:00:00Z,901,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-28T00:00:00Z,836,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-29T00:00:00Z,789,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-30T00:00:00Z,1020,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-05-31T00:00:00Z,897,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-01T00:00:00Z,754,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-02T00:00:00Z,1020,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-03T00:00:00Z,1250,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-04T00:00:00Z,833,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-05T00:00:00Z,720,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-06T00:00:00Z,671,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-07T00:00:00Z,619,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-08T00:00:00Z,572,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-09T00:00:00Z,530,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-10T00:00:00Z,512,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-11T00:00:00Z,658,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-12T00:00:00Z,549,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-13T00:00:00Z,517,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-14T00:00:00Z,578,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-15T00:00:00Z,510,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-16T00:00:00Z,461,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-17T00:00:00Z,440,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-18T00:00:00Z,461,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-19T00:00:00Z,504,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-20T00:00:00Z,512,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-21T00:00:00Z,654,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-22T00:00:00Z,496,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-23T00:00:00Z,419,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-24T00:00:00Z,386,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-25T00:00:00Z,434,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-26T00:00:00Z,434,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-27T00:00:00Z,375,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-28T00:00:00Z,347,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-29T00:00:00Z,341,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-06-30T00:00:00Z,370,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-01T00:00:00Z,330,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-02T00:00:00Z,303,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-03T00:00:00Z,294,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-04T00:00:00Z,322,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-05T00:00:00Z,312,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-06T00:00:00Z,410,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-07T00:00:00Z,727,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-08T00:00:00Z,1020,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-09T00:00:00Z,969,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-10T00:00:00Z,621,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-11T00:00:00Z,513,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-12T00:00:00Z,528,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-13T00:00:00Z,444,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-14T00:00:00Z,377,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-15T00:00:00Z,340,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-16T00:00:00Z,311,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-17T00:00:00Z,307,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-18T00:00:00Z,307,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-19T00:00:00Z,298,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-20T00:00:00Z,269,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-21T00:00:00Z,249,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-22T00:00:00Z,321,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-23T00:00:00Z,339,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-24T00:00:00Z,319,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-25T00:00:00Z,292,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-26T00:00:00Z,268,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-27T00:00:00Z,238,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-28T00:00:00Z,225,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-29T00:00:00Z,218,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-30T00:00:00Z,208,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-07-31T00:00:00Z,218,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-01T00:00:00Z,211,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-02T00:00:00Z,211,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-03T00:00:00Z,227,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-04T00:00:00Z,244,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-05T00:00:00Z,216,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-06T00:00:00Z,203,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-07T00:00:00Z,204,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-08T00:00:00Z,188,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-09T00:00:00Z,183,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-10T00:00:00Z,172,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-11T00:00:00Z,169,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-12T00:00:00Z,167,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-13T00:00:00Z,163,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-14T00:00:00Z,257,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-15T00:00:00Z,224,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-16T00:00:00Z,197,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-17T00:00:00Z,196,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-18T00:00:00Z,191,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-19T00:00:00Z,202,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-20T00:00:00Z,184,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-21T00:00:00Z,170,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-22T00:00:00Z,165,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-23T00:00:00Z,176,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-24T00:00:00Z,197,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-25T00:00:00Z,185,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-26T00:00:00Z,171,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-27T00:00:00Z,163,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-28T00:00:00Z,163,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-29T00:00:00Z,165,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-30T00:00:00Z,158,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-08-31T00:00:00Z,151,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-01T00:00:00Z,143,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-02T00:00:00Z,145,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-03T00:00:00Z,183,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-04T00:00:00Z,158,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-05T00:00:00Z,138,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-06T00:00:00Z,136,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-07T00:00:00Z,134,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-08T00:00:00Z,131,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-09T00:00:00Z,129,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-10T00:00:00Z,127,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-11T00:00:00Z,124,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-12T00:00:00Z,123,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-13T00:00:00Z,123,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-14T00:00:00Z,126,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-15T00:00:00Z,131,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-16T00:00:00Z,128,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-17T00:00:00Z,122,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-18T00:00:00Z,116,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-19T00:00:00Z,116,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-20T00:00:00Z,114,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-21T00:00:00Z,113,
USGS,01614500,conoco,"Conococheague Creek at Fairfview, MD",2019-09-22T00:00:00Z,112,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-01T00:00:00Z,329,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-02T00:00:00Z,344,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-03T00:00:00Z,347,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-04T00:00:00Z,527,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-05T00:00:00Z,2380,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-06T00:00:00Z,1920,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-05-07T00:00:00Z,898,
