sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
1,2019-01-01,2019,1,1,234.2,63.1,5,172.6,40,2860.6,736.1,3344.2
2,2019-01-02,2019,1,2,211.3,57,5,152,39.8,3001.1,597.5,3462
3,2019-01-03,2019,1,3,200.4,55,5,139.7,38,2992.5,480.4,3487.6
4,2019-01-04,2019,1,4,229,61,5,133.2,37,2893.4,427.9,3439.6
5,2019-01-05,2019,1,5,330,84,5,119.7,35.9,2786,407.6,3290.7
6,2019-01-06,2019,1,6,391.3,104,4,107.8,34,2698.2,389.5,3076.2
7,2019-01-07,2019,1,7,492.4,133.2,5,101,34,2655.7,381.4,3013.8
8,2019-01-08,2019,1,8,3051,1308,15,8774.7,50,7351.8,12966.2,4968.3
9,2019-01-09,2019,1,9,1426.2,789.4,10,2366.2,45.8,34246.1,17747,23893
10,2019-01-10,2019,1,10,998.1,478.2,6,1254,40.9,67563.7,11223.3,54984.6
11,2019-01-11,2019,1,11,790,319,5,508.5,37,48994.1,3522.3,60320.4
12,2019-01-12,2019,1,12,595.8,216.3,5,314,34,20719.2,1382.4,49823.3
13,2019-01-13,2019,1,13,533.4,149.9,4,236.5,34,13229.7,972.6,23838.2
14,2019-01-14,2019,1,14,494.3,127,4,212.6,33,8935.8,773,17049.6
15,2019-01-15,2019,1,15,448.6,116.3,13,213,47,7554.6,703.7,12510.2
16,2019-01-16,2019,1,16,486,111,33,8775.3,91,11957.8,12850,15724.3
17,2019-01-17,2019,1,17,444.4,109,18,942.6,65.7,11715.8,3893.3,15578.7
18,2019-01-18,2019,1,18,441.6,111,13,543.5,61,11021.9,2187.5,12253.1
19,2019-01-19,2019,1,19,427.8,108,9,379.4,55,9030.8,1459.7,11199.3
20,2019-01-20,2019,1,20,396,104,9,295.4,53,8105,1209.9,10261.8
21,2019-01-21,2019,1,21,375,98,8,262,51,6746.5,1088.5,8811.9
22,2019-01-22,2019,1,22,357,97.4,7,230.5,50,6129.6,1012.5,8121.3
