"","date_time","qad","qav","dQ_va","dQ_md","lfalls_nat","por_nat","below_por","demand","lfalls_adj","lfalls_obs","lfalls_obs_fc9","lfalls_obs_fc1","sen_outflow","sen_outflow_lagged","sen_watershed","jrr_outflow","jrr_outflow_lagged","savage_outflow","savage_outflow_lagged","withdr_pot_fw","withdr_pot_fw_lagged","withdr_pot_wssc","need_0day","need_1day","withdr_pot_wa"
"1",2038-01-01,2038-01-01,9999.9,0,0,3351.4,2867.8,736.1,300,3351.4,3051.4,1000,1000,0,9,0,120,129,50,50,100,100,100,0,0,100
"2",2038-01-02,2038-01-02,300,0,0,3469.2,3008.3,597.5,430.37948,3613.2,NA,NA,NA,5,NA,0,325.5,120,65.1,24,112.46128,NA,125.6633,0,0,186.2549
"3",2038-01-03,2038-01-03,970,0,0,3494.8,2999.7,480.4,416.28651,3638.8,NA,NA,NA,5,NA,0,970,120,194,24,109.38931,NA,120.1528,0,0,180.7444
"4",2038-01-04,2038-01-04,300,0,0,3446.8,2900.6,427.9,407.98866,3590.8,NA,NA,NA,5,NA,0,300,120,60,24,107.70406,NA,116.8465,0,0,177.4381
"5",2038-01-05,2038-01-05,300,0,0,3297.9,2793.2,407.6,405.67425,3441.9,NA,NA,NA,5,NA,0,300,120,60,24,107.59385,NA,115.7444,0,0,176.336
"6",2038-01-06,2038-01-06,300,0,0,3083.4,2705.4,389.5,385.85036,3227.4,NA,NA,NA,4,NA,0,300,120,60,24,103.19936,NA,108.0297,0,0,168.6213
"7",2038-01-07,2038-01-07,300,0,0,3021,2662.9,381.4,394.038,3165,NA,NA,NA,5,NA,0,300,120,60,24,104.7744,NA,111.336,0,0,171.9276
"8",2038-01-08,2038-01-08,300,0,0,4975.5,7359,12966.2,405.78446,5119.5,NA,NA,NA,15,NA,0,2524.1,120,504.82,24,107.70406,NA,115.7444,0,0,176.336
"9",2038-01-09,2038-01-09,300,0,0,23900.2,34253.3,17747,377.66272,24044.2,NA,NA,NA,10,NA,0,1426.2,120,285.24,24,101.62432,NA,104.7234,0,0,165.315
"10",2038-01-10,2038-01-10,300,0,0,54991.8,67570.9,11223.3,383.53595,55135.8,54769.72888,55813.44888,54769.72888,6,10,0,998.099999999999,120,199.62,24,103.08915,101.62432,106.9276,0,0,167.5192
"11",2038-01-11,2038-01-11,300,0,0,60327.6,49001.3,3522.3,379.97713,60718.2,60348.86825,60900.26825,60348.86825,5,6,0,790,325.5,158,65.1,101.73453,103.08915,105.8255,0,0,166.4171
"12",2038-01-12,2038-01-12,300,0,0,49830.5,20726.4,1382.4,379.97713,50994.5,50625.52287,50171.48287,50625.52287,5,5,0,595.799999999999,970,119.16,194,101.73453,101.73453,105.8255,0,0,166.4171
"13",2038-01-13,2038-01-13,300,0,0,23845.4,13236.9,972.6,371.78949,24205.4,23843.03547,24118.11547,23843.03547,4,5,0,533.400000000001,300,106.68,60,100.15949,101.73453,102.5192,0,0,163.1108
"14",2038-01-14,2038-01-14,300,0,0,17056.8,8943,773,384.63805,17416.8,17045.09161,17274.25161,17045.09161,4,4,0,494.299999999999,300,98.8599999999999,60,103.08915,100.15949,108.0297,0,0,167.5192
"15",2038-01-15,2038-01-15,300,0,0,12517.4,7561.8,703.7,396.38451,12877.4,12492.84305,12667.16305,12492.84305,13,4,0,448.599999999999,300,89.7199999999997,60,104.91671,103.08915,112.4381,0,0,173.0297
"16",2038-01-16,2038-01-16,300,0,0,15731.5,11965,12850,390.51128,16091.5,15719.62599,15929.82599,15719.62599,33,13,0,486,300,97.2,60,104.55398,104.91671,110.2339,0,0,169.7234
"17",2038-01-17,2038-01-17,300,0,0,15585.9,11723,3893.3,419.84533,18614.82,18240.16462,15711.52462,18240.16462,18,33,0,444.400000000001,2524.1,88.8800000000003,504.82,110.74393,104.55398,121.2549,0,0,181.8465
"18",2038-01-18,2038-01-18,300,0,0,12260.3,11029.1,2187.5,422.15974,13971.74,13573.69047,12374.17047,13573.69047,13,18,0,441.599999999999,1426.2,88.3199999999997,285.24,110.85414,110.74393,122.357,0,0,182.9486
"19",2038-01-19,2038-01-19,300,0,0,11206.5,9038,1459.7,416.28651,12404.22,12005.46866,11308.10866,12005.46866,9,13,0,427.799999999999,998.099999999999,85.5599999999999,199.62,109.38931,110.85414,120.1528,0,0,180.7444
