"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",2019-04-01,9725,120,65,55,65,0,9780
"2",2019-04-02,9725,141.4,65,76.4,65,0,9801.4
"3",2019-04-03,9725,124,65,59,65,0,9784
"4",2019-04-04,9725,128.5,65,63.5,65,0,9788.5
"5",2019-04-05,9725,121.5,65,56.5,65,0,9781.5
"6",2019-04-06,9725,112.5,65,47.5,65,0,9772.5
"7",2019-04-07,9725,107,65,42,65,0,9767
"8",2019-04-08,9725,102,65,37,65,0,9762
"9",2019-04-09,9725,161.3,65,96.3,65,0,9821.3
"10",2019-04-10,9725,212,65,147,65,0,9872
"11",2019-04-11,9725,154,65,89,65,0,9814
"12",2019-04-12,9725,133,65,68,65,0,9793
"13",2019-04-13,9725,122,65,57,65,0,9782
"14",2019-04-14,9725,114,65,49,65,0,9774
"15",2019-04-15,9725,109,65,44,65,0,9769
"16",2019-04-16,9725,104,65,39,65,0,9764
"17",2019-04-17,9725,101,65,36,65,0,9761
"18",2019-04-18,9725,100,65,35,65,0,9760
"19",2019-04-19,9725,121.4,65,56.4,65,0,9781.4
"20",2019-04-20,9725,179.3,65,114.3,65,0,9839.3
"21",2019-04-21,9725,146.2,65,81.2,65,0,9806.2
"22",2019-04-22,9725,138,65,73,65,0,9798
"23",2019-04-23,9725,128.6,65,63.6,65,0,9788.6
"24",2019-04-24,9725,120,65,55,65,0,9780
"25",2019-04-25,9725,113.4,65,48.4,65,0,9773.4
"26",2019-04-26,9725,108,65,43,65,0,9768
"27",2019-04-27,9725,112,65,47,65,0,9772
"28",2019-04-28,9725,104.4,65,39.4,65,0,9764.4
"29",2019-04-29,9725,98,65,33,65,0,9758
"30",2019-04-30,9725,93,65,28,65,0,9753
"31",2019-05-01,9725,92,65,27,65,0,9752
"32",2019-05-02,9725,105,65,40,65,0,9765
"33",2019-05-03,9725,121,65,56,65,0,9781
"34",2019-05-04,9725,125,65,60,65,0,9785
"35",2019-05-05,9725,124,65,59,65,0,9784
"36",2019-05-06,9725,165,65,100,65,0,9825
"37",2019-05-07,9725,135.5,65,70.5,65,0,9795.5
"38",2019-05-08,9725,196.2,65,131.2,65,0,9856.2
"39",2019-05-09,9725,179,65,114,65,0,9839
"40",2019-05-10,9725,153,65,88,65,0,9813
"41",2019-05-11,9725,130,65,65,65,0,9790
"42",2019-05-12,9725,167.1,65,102.1,65,0,9827.1
"43",2019-05-13,9725,161,65,96,65,0,9821
"44",2019-05-14,9725,140,65,75,65,0,9800
"45",2019-05-15,9725,130,65,65,65,0,9790
"46",2019-05-16,9725,121,65,56,65,0,9781
"47",2019-05-17,9725,117,65,52,65,0,9777
"48",2019-05-18,9725,110.3,65,45.3,65,0,9770.3
"49",2019-05-19,9725,105,65,40,65,0,9765
"50",2019-05-20,9725,99,65,34,65,0,9759
"51",2019-05-21,9725,96,65,31,65,0,9756
"52",2019-05-22,9725,90,65,25,65,0,9750
"53",2019-05-23,9725,86,65,21,65,0,9746
"54",2019-05-24,9725,82,65,17,65,0,9742
"55",2019-05-25,9725,73,65,10.3,65,0,9733
"56",2019-05-26,9722.7,67.6,65,10.3,65,0,9725.3
"57",2019-05-27,9715,63,65,10.3,65,0,9713
"58",2019-05-28,9702.7,60.7,65,10.3,65,0,9698.4
"59",2019-05-29,9688.1,56.7,65,10.3,65,0,9679.8
"60",2019-05-30,9669.5,54,65,10.3,65,0,9658.5
"61",2019-05-31,9648.2,50,65,10.3,65,0,9633.2
"62",2019-06-01,9622.9,59.7,65,10.3,65,0,9617.6
"63",2019-06-02,9607.3,50.7,65,10.3,65,0,9593
"64",2019-06-03,9582.7,49.7,65,10.3,65,0,9567.4
"65",2019-06-04,9557.1,47,65,10.3,65,0,9539.1
"66",2019-06-05,9528.8,44,65,10.3,65,0,9507.8
"67",2019-06-06,9497.5,43,65,10.3,65,0,9475.5
"68",2019-06-07,9465.2,41,65,10.3,65,0,9441.2
"69",2019-06-08,9430.9,38,65,10.3,65,0,9403.9
"70",2019-06-09,9393.6,36,65,10.3,65,0,9364.6
"71",2019-06-10,9354.3,42,65,10.3,65,0,9331.3
"72",2019-06-11,9321,36,65,10.3,65,0,9292
"73",2019-06-12,9281.7,62,65,10.3,65,0,9278.7
"74",2019-06-13,9268.4,97,65,10.3,65,0,9300.4
"75",2019-06-14,9290.1,121.1,65,10.3,65,0,9346.2
"76",2019-06-15,9335.9,98,65,10.3,65,0,9368.9
"77",2019-06-16,9358.6,85.3,65,10.3,65,0,9378.9
"78",2019-06-17,9368.6,80,65,10.3,65,0,9383.6
"79",2019-06-18,9373.3,75.3,65,10.3,65,0,9383.6
"80",2019-06-19,9373.3,75,65,10.3,65,0,9383.3
