"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",2019-04-01,3787,19,0,19,0,0,3806
"2",2019-04-02,3787,32,0,32,0,0,3819
"3",2019-04-03,3787,21,0,21,0,0,3808
"4",2019-04-04,3787,23.4,0,23.4,0,0,3810.4
"5",2019-04-05,3787,21,0,21,0,0,3808
"6",2019-04-06,3787,18,0,18,0,0,3805
"7",2019-04-07,3787,16,0,16,0,0,3803
"8",2019-04-08,3787,15,0,15,0,0,3802
"9",2019-04-09,3787,43,0,43,0,0,3830
"10",2019-04-10,3787,47.2,0,47.2,0,0,3834.2
"11",2019-04-11,3787,26,0,26,0,0,3813
"12",2019-04-12,3787,22,0,22,0,0,3809
"13",2019-04-13,3787,20,0,20,0,0,3807
"14",2019-04-14,3787,16,0,16,0,0,3803
"15",2019-04-15,3787,15.6,0,15.6,0,0,3802.6
"16",2019-04-16,3787,15,0,15,0,0,3802
"17",2019-04-17,3787,17,0,17,0,0,3804
"18",2019-04-18,3787,17,0,17,0,0,3804
"19",2019-04-19,3787,27,0,27,0,0,3814
"20",2019-04-20,3787,39,0,39,0,0,3826
"21",2019-04-21,3787,23,0,23,0,0,3810
"22",2019-04-22,3787,21,0,21,0,0,3808
"23",2019-04-23,3787,19,0,19,0,0,3806
"24",2019-04-24,3787,17,0,17,0,0,3804
"25",2019-04-25,3787,16,0,16,0,0,3803
"26",2019-04-26,3787,16,0,16,0,0,3803
"27",2019-04-27,3787,17,0,17,0,0,3804
"28",2019-04-28,3787,15,0,15,0,0,3802
"29",2019-04-29,3787,14,0,14,0,0,3801
"30",2019-04-30,3787,13,0,13,0,0,3800
"31",2019-05-01,3787,14,0,14,0,0,3801
"32",2019-05-02,3787,20,0,20,0,0,3807
"33",2019-05-03,3787,27.1,0,27.1,0,0,3814.1
"34",2019-05-04,3787,23,0,23,0,0,3810
"35",2019-05-05,3787,21.2,0,21.2,0,0,3808.2
"36",2019-05-06,3787,25,0,25,0,0,3812
"37",2019-05-07,3787,17,0,17,0,0,3804
"38",2019-05-08,3787,33.1,0,33.1,0,0,3820.1
"39",2019-05-09,3787,24,0,24,0,0,3811
"40",2019-05-10,3787,18.3,0,18.3,0,0,3805.3
"41",2019-05-11,3787,16,0,16,0,0,3803
"42",2019-05-12,3787,24.2,0,24.2,0,0,3811.2
"43",2019-05-13,3787,20,0,20,0,0,3807
"44",2019-05-14,3787,17,0,17,0,0,3804
"45",2019-05-15,3787,16,0,16,0,0,3803
"46",2019-05-16,3787,15,0,15,0,0,3802
"47",2019-05-17,3787,14,0,14,0,0,3801
"48",2019-05-18,3787,12,0,12,0,0,3799
"49",2019-05-19,3787,12,0,12,0,0,3799
"50",2019-05-20,3787,11,0,11,0,0,3798
"51",2019-05-21,3787,11,0,11,0,0,3798
"52",2019-05-22,3787,10,0,10,0,0,3797
"53",2019-05-23,3787,10,0,10,0,0,3797
"54",2019-05-24,3787,9,0,9,0,0,3796
"55",2019-05-25,3787,9,0,9,0,0,3796
"56",2019-05-26,3787,8,0,8,0,0,3795
"57",2019-05-27,3787,8,0,8,0,0,3795
"58",2019-05-28,3787,8,0,8,0,0,3795
"59",2019-05-29,3787,7,0,7,0,0,3794
"60",2019-05-30,3787,7,0,7,0,0,3794
"61",2019-05-31,3787,7,0,7,0,0,3794
"62",2019-06-01,3787,6,0,6,0,0,3793
"63",2019-06-02,3787,6,0,6,0,0,3793
"64",2019-06-03,3787,7,0,7,0,0,3794
"65",2019-06-04,3787,8,0,8,0,0,3795
"66",2019-06-05,3787,6,0,6,0,0,3793
"67",2019-06-06,3787,6,0,6,0,0,3793
"68",2019-06-07,3787,5,0,5,0,0,3792
"69",2019-06-08,3787,5,0,5,0,0,3792
"70",2019-06-09,3787,5,0,5,0,0,3792
"71",2019-06-10,3787,8,0,8,0,0,3795
"72",2019-06-11,3787,6,0,6,0,0,3793
"73",2019-06-12,3787,14,0,14,0,0,3801
"74",2019-06-13,3787,33.2,0,33.2,0,0,3820.2
"75",2019-06-14,3787,37.1,0,37.1,0,0,3824.1
"76",2019-06-15,3787,18,0,18,0,0,3805
"77",2019-06-16,3787,13,0,13,0,0,3800
"78",2019-06-17,3787,12,0,12,0,0,3799
"79",2019-06-18,3787,10,0,10,0,0,3797
