"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"1",2038-01-01,1,0,0,0,0,0,0,0,2,0
"2",2038-01-02,1,0,0,0,0,0,1,0,2,0
"3",2038-01-03,1,0,0,0,0,0,1,0,2,0
"4",2038-01-04,1,0,0,0,0,0,1,0,2,0
"5",2038-01-05,1,0,0,0,0,0,1,0,2,0
"6",2038-01-06,0,0,0,0,0,0,2,0,2,0
"7",2038-01-07,0,0,0,0,0,0,2,0,2,0
"8",2038-01-08,0,0,0,0,0,0,1,0,2,0
"9",2038-01-09,0,0,0,0,0,0,1,0,2,0
"10",2038-01-10,0,0,0,0,0,0,1,0,2,0
"11",2038-01-11,0,0,0,0,0,0,1,0,2,0
"12",2038-01-12,0,0,0,0,0,0,1,0,2,0
"13",2038-01-13,0,0,0,0,0,0,1,0,2,0
"14",2038-01-14,0,0,0,0,0,0,1,0,2,0
"15",2038-01-15,0,0,0,0,0,0,1,0,2,0
"16",2038-01-16,0,0,0,0,0,0,0,0,2,0
"17",2038-01-17,0,0,0,0,0,0,0,0,2,0
"18",2038-01-18,0,0,0,0,0,0,0,0,2,0
"19",2038-01-19,0,0,0,0,0,0,0,0,2,0
"20",2038-01-20,0,0,0,0,0,0,0,0,2,0
"21",2038-01-21,0,0,0,0,0,0,0,0,2,0
"22",2038-01-22,0,0,0,0,0,0,0,0,1,0
"23",2038-01-23,0,0,0,0,0,0,0,0,1,0
"24",2038-01-24,0,0,0,0,0,0,0,0,1,0
"25",2038-01-25,0,0,0,0,0,0,0,0,1,0
"26",2038-01-26,0,0,0,0,0,0,0,0,1,0
"27",2038-01-27,0,0,0,0,0,0,0,0,1,0
"28",2038-01-28,0,0,0,0,0,0,0,0,1,0
"29",2038-01-29,0,0,0,0,0,0,0,0,1,0
"30",2038-01-30,0,0,0,0,0,0,0,0,1,0
