"","date_time","qad","qav","lfalls_nat","por_nat","below_por","demand","lfalls_adj","lfalls_obs","lfalls_obs_fc9","lfalls_obs_fc1","sen_outflow","sen_outflow_lagged","sen_watershed","jrr_outflow","jrr_outflow_lagged","withdr_pot_fw","withdr_pot_fw_lagged","withdr_pot_wssc","need_0day","withdr_pot_wa"
"1",1930-01-01,1930-01-01,9999.9,12027,9971.38,2379.15,300,12027,11727,1000,1000,0,9,30,120,129,100,100,100,0,100
"2",1930-01-02,1930-01-02,65,13230,8417.08,1901.19,356.5,13350,NA,NA,NA,10,NA,30,120,120,76.6,NA,88.3,0,191.6
"3",1930-01-03,1930-01-03,65,11809,7353.16,1837.47,347.5,11929,NA,NA,NA,10,NA,30,120,120,75,NA,85,0,187.5
"4",1930-01-04,1930-01-04,65,10063,6606.16,1646.29,340,10183,NA,NA,NA,10,NA,30,135.98,120,73.6,NA,82.3,0,184.1
"5",1930-01-05,1930-01-05,65,8604,6048.5,1251.18,348.4,8724,NA,NA,NA,10,NA,30,334.4,120,75.2,NA,85.3,0,187.9
"6",1930-01-06,1930-01-06,65,7710,5628.6,1103.54,324.6,7830,NA,NA,NA,10,NA,30,324.73,120,70.8,NA,76.7,0,177.1
"7",1930-01-07,1930-01-07,65,7119,5026.42,1070.62,327.5,7239,NA,NA,NA,10,NA,30,318.68,120,71.4,NA,77.7,0,178.4
"8",1930-01-08,1930-01-08,65,6726,4616.64,1097.17,341.1,6846,NA,NA,NA,10,NA,30,296.309999999999,120,73.8,NA,82.7,0,184.6
"9",1930-01-09,1930-01-09,65,6110,4273.63,1083.36,342.9,6230,NA,NA,NA,10,NA,30,309.01,120,74.2,NA,83.3,0,185.4
"10",1930-01-10,1930-01-10,65,5661,4213.8,1044.06,345.5,5781,5475.9,5651.88,5119.08,10,10,30,305.98,120,74.6,74.2,84.3,0,186.6
"11",1930-01-11,1930-01-11,65,5218,3869.02,944.22,339.4,5338,5037.6,5173.67,4938.47,10,10,30,266.07,120,73.6,74.6,82,0,183.8
"12",1930-01-12,1930-01-12,65,5093,3706.87,879.44,350.4,5213,4904.6,5026.76,4459.98,10,10,30,252.16,120,75.6,73.6,86,0,188.8
"13",1930-01-13,1930-01-13,65,4831,3665.21,962.28,345.5,4966.98,4660.48,4786.62,4433.55,10,10,30,272.120000000001,135.98,74.6,75.6,84.3,0,186.6
"14",1930-01-14,1930-01-14,65,5098,3314.29,1391.38,355.9,5432.4,5118.5,5018.4,5159.68,10,10,30,244.299999999999,334.4,76.6,74.6,88,0,191.3
"15",1930-01-15,1930-01-15,65,6236,3835.46,2570.33,353.9,6560.73,6246.43,6140.88,6324.61,10,10,30,229.18,324.73,76.2,76.6,87.3,0,190.4
"16",1930-01-16,1930-01-16,65,5109,3978.2,1794.98,357.6,5427.68,5110.68,4992.44,6810.8,10,10,30,210.440000000001,318.68,76.8,76.2,88.7,0,192.1
