"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",1930-01-01,15000,350.73,120,300,120,300,15230.73
"2",1930-01-02,14930.73,448.09,0,120,0,0,15378.82
"3",1930-01-03,15258.82,519.44,0,120,0,0,15778.26
"4",1930-01-04,15658.26,477.72,0,135.98,0,0,16135.98
"5",1930-01-05,16000,334.4,0,334.4,0,0,16334.4
"6",1930-01-06,16000,324.73,0,324.73,0,0,16324.73
"7",1930-01-07,16000,318.68,0,318.68,0,0,16318.68
"8",1930-01-08,16000,296.31,0,296.309999999999,0,0,16296.31
"9",1930-01-09,16000,309.01,0,309.01,0,0,16309.01
"10",1930-01-10,16000,305.98,0,305.98,0,0,16305.98
"11",1930-01-11,16000,266.07,0,266.07,0,0,16266.07
"12",1930-01-12,16000,252.16,0,252.16,0,0,16252.16
"13",1930-01-13,16000,272.12,0,272.120000000001,0,0,16272.12
"14",1930-01-14,16000,244.3,0,244.299999999999,0,0,16244.3
"15",1930-01-15,16000,229.18,0,229.18,0,0,16229.18
"16",1930-01-16,16000,210.44,0,210.440000000001,0,0,16210.44
"17",1930-01-17,16000,174.76,0,174.76,0,0,16174.76
"18",1930-01-18,16000,168.71,0,168.709999999999,0,0,16168.71
"19",1930-01-19,16000,104.01,0,120,0,0,16104.01
"20",1930-01-20,15984.01,66.52,0,120,0,0,16050.53
"21",1930-01-21,15930.53,66.52,0,120,0,0,15997.05
"22",1930-01-22,15877.05,66.52,0,120,0,0,15943.57
"23",1930-01-23,15823.57,66.52,0,120,0,0,15890.09
"24",1930-01-24,15770.09,66.52,0,120,0,0,15836.61
"25",1930-01-25,15716.61,66.52,0,120,0,0,15783.13
"26",1930-01-26,15663.13,66.52,0,120,0,0,15729.65
"27",1930-01-27,15609.65,66.52,0,120,0,0,15676.17
"28",1930-01-28,15556.17,66.52,0,120,0,0,15622.69
"29",1930-01-29,15502.69,66.52,0,120,0,0,15569.21
"30",1930-01-30,15449.21,66.52,0,120,0,0,15515.73
"31",1930-01-31,15395.73,66.52,0,120,0,0,15462.25
"32",1930-02-01,15342.25,78.61,0,120,0,0,15420.86
"33",1930-02-02,15300.86,95.54,0,120,0,0,15396.4
"34",1930-02-03,15276.4,101.59,0,120,0,0,15377.99
"35",1930-02-04,15257.99,163.27,0,120,0,0,15421.26
"36",1930-02-05,15301.26,519.44,0,120,0,0,15820.7
"37",1930-02-06,15700.7,324.73,0,120,0,0,16025.43
"38",1930-02-07,15905.43,244.3,0,149.730000000007,0,0,16149.73
"39",1930-02-08,16000,257.61,0,257.610000000001,0,0,16257.61
"40",1930-02-09,16000,206.21,0,206.209999999999,0,0,16206.21
"41",1930-02-10,16000,287.24,0,287.24,0,0,16287.24
"42",1930-02-11,16000,244.3,0,244.299999999999,0,0,16244.3
"43",1930-02-12,16000,234.02,0,234.02,0,0,16234.02
"44",1930-02-13,16000,357.38,0,357.379999999999,0,0,16357.38
"45",1930-02-14,16000,462.6,0,462.599999999999,0,0,16462.6
"46",1930-02-15,16000,341.05,0,341.049999999999,0,0,16341.05
"47",1930-02-16,16000,181.41,0,181.41,0,0,16181.41
"48",1930-02-17,16000,181.41,0,181.41,0,0,16181.41
"49",1930-02-18,16000,181.41,0,181.41,0,0,16181.41
"50",1930-02-19,16000,287.24,0,287.24,0,0,16287.24
"51",1930-02-20,16000,331.38,0,331.379999999999,0,0,16331.38
"52",1930-02-21,16000,364.03,0,364.030000000001,0,0,16364.03
"53",1930-02-22,16000,324.73,0,324.73,0,0,16324.73
"54",1930-02-23,16000,302.96,0,302.959999999999,0,0,16302.96
"55",1930-02-24,16000,327.75,0,327.75,0,0,16327.75
"56",1930-02-25,16000,665.18,0,665.18,0,0,16665.18
"57",1930-02-26,16000,578.7,0,578.700000000001,0,0,16578.7
"58",1930-02-27,16000,578.7,0,578.700000000001,0,0,16578.7
"59",1930-02-28,16000,451.72,0,451.720000000001,0,0,16451.72
"60",1930-03-01,16000,391.25,0,391.25,0,0,16391.25
"61",1930-03-02,16000,364.03,0,364.030000000001,0,0,16364.03
"62",1930-03-03,16000,296.31,0,296.309999999999,0,0,16296.31
"63",1930-03-04,16000,293.28,0,293.280000000001,0,0,16293.28
"64",1930-03-05,16000,269.09,0,269.09,0,0,16269.09
"65",1930-03-06,16000,315.05,0,315.049999999999,0,0,16315.05
"66",1930-03-07,16000,398.5,0,398.5,0,0,16398.5
"67",1930-03-08,16000,578.7,0,578.700000000001,0,0,16578.7
"68",1930-03-09,16000,558.75,0,558.75,0,0,16558.75
"69",1930-03-10,16000,538.79,0,538.790000000001,0,0,16538.79
"70",1930-03-11,16000,640.99,0,640.990000000002,0,0,16640.99
"71",1930-03-12,16000,616.8,0,616.799999999999,0,0,16616.8
"72",1930-03-13,16000,519.44,0,519.439999999999,0,0,16519.44
"73",1930-03-14,16000,683.32,0,683.32,0,0,16683.32
"74",1930-03-15,16000,538.79,0,538.790000000001,0,0,16538.79
"75",1930-03-16,16000,455.34,0,455.34,0,0,16455.34
"76",1930-03-17,16000,437.2,0,437.200000000001,0,0,16437.2
"77",1930-03-18,16000,448.09,0,448.09,0,0,16448.09
"78",1930-03-19,16000,1360.59,0,1360.59,0,0,17360.59
"79",1930-03-20,16000,780.07,0,780.07,0,0,16780.07
"80",1930-03-21,16000,538.79,0,538.790000000001,0,0,16538.79
"81",1930-03-22,16000,422.69,0,422.689999999999,0,0,16422.69
"82",1930-03-23,16000,347.71,0,347.709999999999,0,0,16347.71
"83",1930-03-24,16000,321.7,0,321.700000000001,0,0,16321.7
"84",1930-03-25,16000,299.33,0,299.33,0,0,16299.33
"85",1930-03-26,16000,299.33,0,299.33,0,0,16299.33
"86",1930-03-27,16000,263.05,0,263.049999999999,0,0,16263.05
"87",1930-03-28,16000,229.18,0,229.18,0,0,16229.18
"88",1930-03-29,16000,249.74,0,249.74,0,0,16249.74
"89",1930-03-30,16000,252.16,0,252.16,0,0,16252.16
"90",1930-03-31,16000,224.95,0,224.950000000001,0,0,16224.95
"91",1930-04-01,16000,204.39,0,204.389999999999,0,0,16204.39
"92",1930-04-02,16000,348.31,0,348.309999999999,0,0,16348.31
"93",1930-04-03,16000,398.5,0,398.5,0,0,16398.5
"94",1930-04-04,16000,426.32,0,426.32,0,0,16426.32
"95",1930-04-05,16000,327.75,0,327.75,0,0,16327.75
"96",1930-04-06,16000,309.01,0,309.01,0,0,16309.01
"97",1930-04-07,16000,616.8,0,616.799999999999,0,0,16616.8
"98",1930-04-08,16000,707.51,0,707.509999999998,0,0,16707.51
"99",1930-04-09,16000,683.32,0,683.32,0,0,16683.32
"100",1930-04-10,16000,578.7,0,578.700000000001,0,0,16578.7
"101",1930-04-11,16000,481.35,0,481.349999999999,0,0,16481.35
"102",1930-04-12,16000,401.53,0,401.529999999999,0,0,16401.53
"103",1930-04-13,16000,347.71,0,347.709999999999,0,0,16347.71
"104",1930-04-14,16000,305.98,0,305.98,0,0,16305.98
"105",1930-04-15,16000,272.12,0,272.120000000001,0,0,16272.12
"106",1930-04-16,16000,244.3,0,244.299999999999,0,0,16244.3
"107",1930-04-17,16000,302.96,0,302.959999999999,0,0,16302.96
"108",1930-04-18,16000,293.28,0,293.280000000001,0,0,16293.28
"109",1930-04-19,16000,318.68,0,318.68,0,0,16318.68
"110",1930-04-20,16000,275.14,0,275.139999999999,0,0,16275.14
"111",1930-04-21,16000,255.19,0,255.190000000001,0,0,16255.19
"112",1930-04-22,16000,361.01,0,361.01,0,0,16361.01
"113",1930-04-23,16000,299.33,0,299.33,0,0,16299.33
"114",1930-04-24,16000,257.61,0,257.610000000001,0,0,16257.61
"115",1930-04-25,16000,244.3,0,244.299999999999,0,0,16244.3
"116",1930-04-26,16000,220.11,0,220.110000000001,0,0,16220.11
"117",1930-04-27,16000,197.74,0,197.74,0,0,16197.74
"118",1930-04-28,16000,178.99,0,178.99,0,0,16178.99
"119",1930-04-29,16000,168.71,0,168.709999999999,0,0,16168.71
"120",1930-04-30,16000,155.41,0,155.41,0,0,16155.41
"121",1930-05-01,16000,244.91,0,244.91,0,0,16244.91
"122",1930-05-02,16000,234.02,0,234.02,0,0,16234.02
"123",1930-05-03,16000,186.85,0,186.85,0,0,16186.85
"124",1930-05-04,16000,160.85,0,160.85,0,0,16160.85
"125",1930-05-05,16000,148.15,0,148.15,0,0,16148.15
"126",1930-05-06,16000,148.15,0,148.15,0,0,16148.15
"127",1930-05-07,16000,180.81,0,180.809999999999,0,0,16180.81
"128",1930-05-08,16000,176.57,0,176.57,0,0,16176.57
"129",1930-05-09,16000,148.15,0,148.15,0,0,16148.15
"130",1930-05-10,16000,132.43,0,132.43,0,0,16132.43
"131",1930-05-11,16000,120.94,0,120.940000000001,0,0,16120.94
"132",1930-05-12,16000,108.85,0,120,0,0,16108.85
"133",1930-05-13,15988.85,102.8,0,120,0,0,16091.65
"134",1930-05-14,15971.65,98.57,0,120,0,0,16070.22
"135",1930-05-15,15950.22,101.59,0,120,0,0,16051.81
"136",1930-05-16,15931.81,113.68,0,120,0,0,16045.49
"137",1930-05-17,15925.49,110.06,0,120,0,0,16035.55
"138",1930-05-18,15915.55,95.54,0,120,0,0,16011.09
"139",1930-05-19,15891.09,160.85,0,120,0,0,16051.94
"140",1930-05-20,15931.94,155.41,0,120,0,0,16087.35
"141",1930-05-21,15967.35,119.73,0,120,0,0,16087.08
"142",1930-05-22,15967.08,98.57,0,120,0,0,16065.65
"143",1930-05-23,15945.65,84.05,0,120,0,0,16029.7
"144",1930-05-24,15909.7,74.98,0,120,0,0,15984.68
"145",1930-05-25,15864.68,74.98,0,120,0,0,15939.66
"146",1930-05-26,15819.66,70.75,0,120,0,0,15890.41
"147",1930-05-27,15770.41,62.89,0,120,0,0,15833.3
"148",1930-05-28,15713.3,62.28,0,120,0,0,15775.58
"149",1930-05-29,15655.58,60.47,0,120,0,0,15716.05
"150",1930-05-30,15596.05,54.42,0,120,0,0,15650.47
"151",1930-05-31,15530.47,49.59,0,120,0,0,15580.06
"152",1930-06-01,15460.06,47.17,0,120,0,0,15507.23
"153",1930-06-02,15387.23,42.33,0,120,0,0,15429.56
"154",1930-06-03,15309.56,37.49,0,120,0,0,15347.05
"155",1930-06-04,15227.05,33.86,0,120,0,0,15260.91
"156",1930-06-05,15140.91,32.65,0,120,0,0,15173.56
"157",1930-06-06,15053.56,29.03,0,120,0,0,15082.59
"158",1930-06-07,14962.59,29.03,0,120,0,0,14991.62
"159",1930-06-08,14871.62,29.63,0,120,0,0,14901.25
"160",1930-06-09,14781.25,39.31,0,120,0,0,14820.56
"161",1930-06-10,14700.56,628.9,0,120,0,0,15329.46
"162",1930-06-11,15209.46,529.12,0,120,0,0,15738.58
"163",1930-06-12,15618.58,220.11,0,120,0,0,15838.69
"164",1930-06-13,15718.69,142.71,0,120,0,0,15861.4
"165",1930-06-14,15741.4,108.85,0,120,0,0,15850.25
"166",1930-06-15,15730.25,87.08,0,120,0,0,15817.33
"167",1930-06-16,15697.33,70.75,0,120,0,0,15768.08
"168",1930-06-17,15648.08,66.52,0,120,0,0,15714.6
"169",1930-06-18,15594.6,74.98,0,120,0,0,15669.58
"170",1930-06-19,15549.58,65.31,0,120,0,0,15614.89
"171",1930-06-20,15494.89,52,0,120,0,0,15546.89
"172",1930-06-21,15426.89,43.54,0,120,0,0,15470.43
"173",1930-06-22,15350.43,39.91,0,120,0,0,15390.34
"174",1930-06-23,15270.34,36.28,0,120,0,0,15306.62
"175",1930-06-24,15186.62,33.26,0,120,0,0,15219.88
"176",1930-06-25,15099.88,223.74,0,120,0,0,15323.62
"177",1930-06-26,15203.62,117.92,0,120,0,0,15321.54
"178",1930-06-27,15201.54,79.22,0,120,0,0,15280.76
"179",1930-06-28,15160.76,61.08,0,120,0,0,15221.84
"180",1930-06-29,15101.84,48.98,0,120,0,0,15150.82
"181",1930-06-30,15030.82,39.91,0,120,0,0,15070.73
"182",1930-07-01,14950.73,35.07,0,120,0,0,14985.8
"183",1930-07-02,14865.8,34.47,0,120,0,0,14900.27
"184",1930-07-03,14780.27,39.31,0,120,0,0,14819.58
"185",1930-07-04,14699.58,36.28,0,120,0,0,14735.86
"186",1930-07-05,14615.86,29.03,0,120,0,0,14644.89
"187",1930-07-06,14524.89,24.79,0,120,0,0,14549.68
"188",1930-07-07,14429.68,24.79,0,120,0,0,14454.47
