"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",1930-01-01,8000,324.15,70,254.15,70,0,8254.15
"2",1930-01-02,8000,236.71,38.3,198.41,38.3,0,8198.41
"3",1930-01-03,8000,236.71,37.5,199.209999999999,37.5,0,8199.21
"4",1930-01-04,8000,229.9,36.8,193.1,36.8,0,8193.1
"5",1930-01-05,8000,194.88,37.6,157.279999999999,37.6,0,8157.28
"6",1930-01-06,8000,194.88,35.4,159.48,35.4,0,8159.48
"7",1930-01-07,8000,194.88,35.7,159.179999999999,35.7,0,8159.18
"8",1930-01-08,8000,194.88,36.9,157.98,36.9,0,8157.98
"9",1930-01-09,8000,183.27,37.1,146.17,37.1,0,8146.17
"10",1930-01-10,8000,183.27,37.3,145.97,37.3,0,8145.97
"11",1930-01-11,8000,161.13,36.8,124.33,36.8,0,8124.33
"12",1930-01-12,8000,172.19,37.8,134.389999999999,37.8,0,8134.39
"13",1930-01-13,8000,172.19,37.3,134.889999999999,37.3,0,8134.89
"14",1930-01-14,8000,183.27,38.3,144.97,38.3,0,8144.97
"15",1930-01-15,8000,236.71,38.1,198.609999999999,38.1,0,8198.61
"16",1930-01-16,8000,206.53,38.4,168.130000000001,38.4,0,8168.13
"17",1930-01-17,8000,194.88,37.7,157.179999999999,37.7,0,8157.18
"18",1930-01-18,8000,194.88,37.7,157.179999999999,37.7,0,8157.18
"19",1930-01-19,8000,120.15,38.2,81.9499999999998,38.2,0,8081.95
"20",1930-01-20,8000,101.28,36.8,64.4799999999996,36.8,0,8064.48
"21",1930-01-21,8000,101.28,37.7,63.5799999999999,37.7,0,8063.58
"22",1930-01-22,8000,194.88,35.4,159.48,35.4,0,8159.48
"23",1930-01-23,8000,183.27,35,148.27,35,0,8148.27
"24",1930-01-24,8000,183.27,35.8,147.47,35.8,0,8147.47
"25",1930-01-25,8000,183.27,35.8,147.47,35.8,0,8147.47
"26",1930-01-26,8000,161.13,35.3,125.83,35.3,0,8125.83
"27",1930-01-27,8000,161.13,34.6,126.53,34.6,0,8126.53
"28",1930-01-28,8000,161.13,36.7,124.43,36.7,0,8124.43
"29",1930-01-29,8000,161.13,36.5,124.63,36.5,0,8124.63
"30",1930-01-30,8000,140.09,36.8,103.29,36.8,0,8103.29
"31",1930-01-31,8000,206.53,36.8,169.73,36.8,0,8169.73
"32",1930-02-01,8000,195.35,35,160.35,35,0,8160.35
"33",1930-02-02,8000,216.04,36.8,179.240000000001,36.8,0,8179.24
"34",1930-02-03,8000,216.04,37.7,178.340000000001,37.7,0,8178.34
"35",1930-02-04,8000,1156.17,37.3,1118.87,37.3,0,9118.87
"36",1930-02-05,8000,2543.1,36.8,2506.3,36.8,0,10506.3
"37",1930-02-06,8000,1322.56,35.7,1286.86,35.7,0,9286.86
"38",1930-02-07,8000,1044.56,36.8,1007.76,36.8,0,9007.76
"39",1930-02-08,8000,511.19,36,475.190000000001,36,0,8475.19
"40",1930-02-09,8000,370.22,36.9,333.32,36.9,0,8333.32
"41",1930-02-10,8000,279.64,36.7,242.939999999999,36.7,0,8242.94
"42",1930-02-11,8000,236.71,36.8,199.91,36.8,0,8199.91
"43",1930-02-12,8000,195.35,37.5,157.85,37.5,0,8157.85
"44",1930-02-13,8000,236.71,36.8,199.91,36.8,0,8199.91
