"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",1930-01-01,3000,9.51,5,10,5,3,3004.51
"2",1930-01-02,2994.51,11.15,0,10,0,0,3005.66
"3",1930-01-03,2995.66,11.15,0,10,0,0,3006.81
"4",1930-01-04,2996.81,8.85,0,10,0,0,3005.66
"5",1930-01-05,2995.66,8.2,0,10,0,0,3003.86
"6",1930-01-06,2993.86,8.53,0,10,0,0,3002.39
"7",1930-01-07,2992.39,8.2,0,10,0,0,3000.59
"8",1930-01-08,2990.59,8.2,0,10,0,0,2998.79
"9",1930-01-09,2988.79,7.87,0,10,0,0,2996.66
"10",1930-01-10,2986.66,7.54,0,10,0,0,2994.2
"11",1930-01-11,2984.2,6.56,0,10,0,0,2990.76
"12",1930-01-12,2980.76,7.21,0,10,0,0,2987.97
"13",1930-01-13,2977.97,7.54,0,10,0,0,2985.51
"14",1930-01-14,2975.51,11.48,0,10,0,0,2986.99
"15",1930-01-15,2976.99,9.84,0,10,0,0,2986.83
"16",1930-01-16,2976.83,8.53,0,10,0,0,2985.36
"17",1930-01-17,2975.36,8.2,0,10,0,0,2983.56
"18",1930-01-18,2973.56,4.92,0,10,0,0,2978.48
"19",1930-01-19,2968.48,4.92,0,10,0,0,2973.4
"20",1930-01-20,2963.4,4.92,0,10,0,0,2968.32
"21",1930-01-21,2958.32,4.92,0,10,0,0,2963.24
"22",1930-01-22,2953.24,4.92,0,10,0,0,2958.16
"23",1930-01-23,2948.16,4.92,0,10,0,0,2953.08
"24",1930-01-24,2943.08,4.92,0,10,0,0,2948
"25",1930-01-25,2938,4.92,0,10,0,0,2942.92
"26",1930-01-26,2932.92,4.92,0,10,0,0,2937.84
"27",1930-01-27,2927.84,4.92,0,10,0,0,2932.76
"28",1930-01-28,2922.76,4.92,0,10,0,0,2927.68
"29",1930-01-29,2917.68,4.92,0,10,0,0,2922.6
"30",1930-01-30,2912.6,4.92,0,10,0,0,2917.52
"31",1930-01-31,2907.52,4.92,0,10,0,0,2912.44
"32",1930-02-01,2902.44,5.9,0,10,0,0,2908.34
"33",1930-02-02,2898.34,7.21,0,10,0,0,2905.55
"34",1930-02-03,2895.55,11.15,0,10,0,0,2906.7
"35",1930-02-04,2896.7,19.35,0,10,0,0,2916.05
"36",1930-02-05,2906.05,34.1,0,10,0,0,2940.15
"37",1930-02-06,2930.15,20.66,0,10,0,0,2950.81
"38",1930-02-07,2940.81,15.41,0,10,0,0,2956.22
"39",1930-02-08,2946.22,14.43,0,10,0,0,2960.65
"40",1930-02-09,2950.65,12.79,0,10,0,0,2963.44
"41",1930-02-10,2953.44,13.44,0,10,0,0,2966.88
"42",1930-02-11,2956.88,13.12,0,10,0,0,2970
"43",1930-02-12,2960,12.13,0,10,0,0,2972.13
"44",1930-02-13,2962.13,29.51,0,10,0,0,2991.64
"45",1930-02-14,2981.64,25.25,0,10,0,0,3006.89
"46",1930-02-15,2996.89,15.08,0,10,0,0,3011.97
"47",1930-02-16,3001.97,11.8,0,10,0,0,3013.77
"48",1930-02-17,3003.77,11.48,0,10,0,0,3015.25
"49",1930-02-18,3005.25,11.15,0,10,0,0,3016.4
"50",1930-02-19,3006.4,12.46,0,10,0,0,3018.86
"51",1930-02-20,3008.86,11.15,0,10,0,0,3020.01
"52",1930-02-21,3010.01,11.15,0,10,0,0,3021.16
"53",1930-02-22,3011.16,10.16,0,10,0,0,3021.32
"54",1930-02-23,3011.32,10.49,0,10,0,0,3021.81
"55",1930-02-24,3011.81,10.16,0,10,0,0,3021.97
"56",1930-02-25,3011.97,10.16,0,10,0,0,3022.13
"57",1930-02-26,3012.13,10.49,0,10,0,0,3022.62
"58",1930-02-27,3012.62,9.84,0,10,0,0,3022.46
"59",1930-02-28,3012.46,8.85,0,10,0,0,3021.31
"60",1930-03-01,3011.31,8.53,0,10,0,0,3019.84
"61",1930-03-02,3009.84,8.2,0,10,0,0,3018.04
"62",1930-03-03,3008.04,7.87,0,10,0,0,3015.91
"63",1930-03-04,3005.91,7.21,0,10,0,0,3013.12
"64",1930-03-05,3003.12,6.56,0,10,0,0,3009.68
"65",1930-03-06,2999.68,7.54,0,10,0,0,3007.22
"66",1930-03-07,2997.22,9.51,0,10,0,0,3006.73
"67",1930-03-08,2996.73,40,0,10,0,0,3036.73
"68",1930-03-09,3026.73,18.03,0,10,0,0,3044.76
"69",1930-03-10,3034.76,14.75,0,10,0,0,3049.51
"70",1930-03-11,3039.51,15.74,0,10,0,0,3055.25
"71",1930-03-12,3045.25,15.08,0,10,0,0,3060.33
"72",1930-03-13,3050.33,12.79,0,10,0,0,3063.12
"73",1930-03-14,3053.12,11.48,0,10,0,0,3064.6
"74",1930-03-15,3054.6,11.15,0,10,0,0,3065.75
"75",1930-03-16,3055.75,10.82,0,10,0,0,3066.57
"76",1930-03-17,3056.57,11.15,0,10,0,0,3067.72
"77",1930-03-18,3057.72,10.49,0,10,0,0,3068.21
"78",1930-03-19,3058.21,11.8,0,10,0,0,3070.01
"79",1930-03-20,3060.01,10.49,0,10,0,0,3070.5
"80",1930-03-21,3060.5,9.84,0,10,0,0,3070.34
"81",1930-03-22,3060.34,9.18,0,10,0,0,3069.52
"82",1930-03-23,3059.52,9.51,0,10,0,0,3069.03
"83",1930-03-24,3059.03,9.18,0,10,0,0,3068.21
"84",1930-03-25,3058.21,10.49,0,10,0,0,3068.7
"85",1930-03-26,3058.7,11.15,0,10,0,0,3069.85
"86",1930-03-27,3059.85,9.18,0,10,0,0,3069.03
"87",1930-03-28,3059.03,8.85,0,10,0,0,3067.88
"88",1930-03-29,3057.88,8.85,0,10,0,0,3066.73
"89",1930-03-30,3056.73,8.85,0,10,0,0,3065.58
"90",1930-03-31,3055.58,8.53,0,10,0,0,3064.11
"91",1930-04-01,3054.11,8.2,0,10,0,0,3062.31
"92",1930-04-02,3052.31,7.87,0,10,0,0,3060.18
"93",1930-04-03,3050.18,8.2,0,10,0,0,3058.38
"94",1930-04-04,3048.38,8.53,0,10,0,0,3056.91
"95",1930-04-05,3046.91,7.87,0,10,0,0,3054.78
"96",1930-04-06,3044.78,48.86,0,10,0,0,3093.64
"97",1930-04-07,3083.64,36.72,0,10,0,0,3120.36
"98",1930-04-08,3110.36,21.64,0,10,0,0,3132
"99",1930-04-09,3122,19.35,0,10,0,0,3141.35
"100",1930-04-10,3131.35,17.38,0,10,0,0,3148.73
"101",1930-04-11,3138.73,15.08,0,10,0,0,3153.81
"102",1930-04-12,3143.81,14.43,0,10,0,0,3158.24
"103",1930-04-13,3148.24,13.77,0,10,0,0,3162.01
"104",1930-04-14,3152.01,13.77,0,10,0,0,3165.78
"105",1930-04-15,3155.78,13.44,0,10,0,0,3169.22
"106",1930-04-16,3159.22,15.08,0,10,0,0,3174.3
"107",1930-04-17,3164.3,15.74,0,10,0,0,3180.04
"108",1930-04-18,3170.04,15.74,0,10,0,0,3185.78
"109",1930-04-19,3175.78,14.43,0,10,0,0,3190.21
"110",1930-04-20,3180.21,14.75,0,10,0,0,3194.96
"111",1930-04-21,3184.96,14.1,0,10,0,0,3199.06
"112",1930-04-22,3189.06,13.77,0,10,0,0,3202.83
"113",1930-04-23,3192.83,13.44,0,10,0,0,3206.27
"114",1930-04-24,3196.27,12.13,0,10,0,0,3208.4
"115",1930-04-25,3198.4,11.8,0,10,0,0,3210.2
"116",1930-04-26,3200.2,11.15,0,10,0,0,3211.35
"117",1930-04-27,3201.35,11.15,0,10,0,0,3212.5
"118",1930-04-28,3202.5,11.15,0,10,0,0,3213.65
"119",1930-04-29,3203.65,11.15,0,10,0,0,3214.8
"120",1930-04-30,3204.8,11.15,0,10,0,0,3215.95
"121",1930-05-01,3205.95,10.82,0,10,0,0,3216.77
"122",1930-05-02,3206.77,10.49,0,10,0,0,3217.26
"123",1930-05-03,3207.26,10.49,0,10,0,0,3217.75
"124",1930-05-04,3207.75,10.16,0,10,0,0,3217.91
"125",1930-05-05,3207.91,9.51,0,10,0,0,3217.42
"126",1930-05-06,3207.42,9.18,0,10,0,0,3216.6
"127",1930-05-07,3206.6,8.85,0,10,0,0,3215.45
"128",1930-05-08,3205.45,8.53,0,10,0,0,3213.98
"129",1930-05-09,3203.98,7.87,0,10,0,0,3211.85
"130",1930-05-10,3201.85,7.54,0,10,0,0,3209.39
"131",1930-05-11,3199.39,7.54,0,10,0,0,3206.93
"132",1930-05-12,3196.93,7.54,0,10,0,0,3204.47
"133",1930-05-13,3194.47,7.21,0,10,0,0,3201.68
"134",1930-05-14,3191.68,7.54,0,10,0,0,3199.22
"135",1930-05-15,3189.22,8.2,0,10,0,0,3197.42
"136",1930-05-16,3187.42,7.87,0,10,0,0,3195.29
"137",1930-05-17,3185.29,7.54,0,10,0,0,3192.83
"138",1930-05-18,3182.83,7.21,0,10,0,0,3190.04
"139",1930-05-19,3180.04,7.87,0,10,0,0,3187.91
"140",1930-05-20,3177.91,9.51,0,10,0,0,3187.42
"141",1930-05-21,3177.42,7.21,0,10,0,0,3184.63
"142",1930-05-22,3174.63,6.56,0,10,0,0,3181.19
"143",1930-05-23,3171.19,6.56,0,10,0,0,3177.75
"144",1930-05-24,3167.75,7.87,0,10,0,0,3175.62
"145",1930-05-25,3165.62,7.54,0,10,0,0,3173.16
"146",1930-05-26,3163.16,6.56,0,10,0,0,3169.72
"147",1930-05-27,3159.72,5.9,0,10,0,0,3165.62
"148",1930-05-28,3155.62,6.23,0,10,0,0,3161.85
"149",1930-05-29,3151.85,5.9,0,10,0,0,3157.75
"150",1930-05-30,3147.75,5.9,0,10,0,0,3153.65
"151",1930-05-31,3143.65,5.57,0,10,0,0,3149.22
"152",1930-06-01,3139.22,4.92,0,10,0,0,3144.14
"153",1930-06-02,3134.14,4.92,0,10,0,0,3139.06
"154",1930-06-03,3129.06,4.92,0,10,0,0,3133.98
"155",1930-06-04,3123.98,4.59,0,10,0,0,3128.57
"156",1930-06-05,3118.57,4.26,0,10,0,0,3122.83
"157",1930-06-06,3112.83,4.26,0,10,0,0,3117.09
"158",1930-06-07,3107.09,5.25,0,10,0,0,3112.34
"159",1930-06-08,3102.34,8.85,0,10,0,0,3111.19
"160",1930-06-09,3101.19,6.56,0,10,0,0,3107.75
"161",1930-06-10,3097.75,6.23,0,10,0,0,3103.98
"162",1930-06-11,3093.98,4.92,0,10,0,0,3098.9
"163",1930-06-12,3088.9,4.26,0,10,0,0,3093.16
"164",1930-06-13,3083.16,4.26,0,10,0,0,3087.42
"165",1930-06-14,3077.42,4.26,0,10,0,0,3081.68
"166",1930-06-15,3071.68,4.26,0,10,0,0,3075.94
"167",1930-06-16,3065.94,3.61,0,10,0,0,3069.55
"168",1930-06-17,3059.55,4.92,0,10,0,0,3064.47
"169",1930-06-18,3054.47,7.54,0,10,0,0,3062.01
"170",1930-06-19,3052.01,3.93,0,10,0,0,3055.94
"171",1930-06-20,3045.94,3.61,0,10,0,0,3049.55
"172",1930-06-21,3039.55,3.61,0,10,0,0,3043.16
"173",1930-06-22,3033.16,3.61,0,10,0,0,3036.77
"174",1930-06-23,3026.77,3.25,0,10,0,0,3030.02
"175",1930-06-24,3020.02,3.61,0,10,0,0,3023.63
"176",1930-06-25,3013.63,3.61,0,10,0,0,3017.24
"177",1930-06-26,3007.24,2.82,0,10,0,0,3010.06
"178",1930-06-27,3000.06,2.69,0,10,0,0,3002.75
"179",1930-06-28,2992.75,2.59,0,10,0,0,2995.34
"180",1930-06-29,2985.34,2.59,0,10,0,0,2987.93
"181",1930-06-30,2977.93,2.43,0,10,0,0,2980.36
"182",1930-07-01,2970.36,3.25,0,10,0,0,2973.61
"183",1930-07-02,2963.61,3.28,0,10,0,0,2966.89
"184",1930-07-03,2956.89,2.43,0,10,0,0,2959.32
"185",1930-07-04,2949.32,2.23,0,10,0,0,2951.55
"186",1930-07-05,2941.55,2.16,0,10,0,0,2943.71
"187",1930-07-06,2933.71,2.16,0,10,0,0,2935.87
"188",1930-07-07,2925.87,2.03,0,10,0,0,2927.9
"189",1930-07-08,2917.9,1.77,0,10,0,0,2919.67
"190",1930-07-09,2909.67,1.77,0,10,0,0,2911.44
"191",1930-07-10,2901.44,1.71,0,10,0,0,2903.15
"192",1930-07-11,2893.15,1.67,0,10,0,0,2894.82
"193",1930-07-12,2884.82,1.61,0,10,0,0,2886.43
"194",1930-07-13,2876.43,1.57,0,10,0,0,2878
"195",1930-07-14,2868,1.71,0,10,0,0,2869.71
"196",1930-07-15,2859.71,1.57,0,10,0,0,2861.28
"197",1930-07-16,2851.28,1.44,0,10,0,0,2852.72
"198",1930-07-17,2842.72,1.51,0,10,0,0,2844.23
"199",1930-07-18,2834.23,1.44,0,10,0,0,2835.67
"200",1930-07-19,2825.67,1.44,0,10,0,0,2827.11
"201",1930-07-20,2817.11,1.41,0,10,0,0,2818.52
"202",1930-07-21,2808.52,1.11,0,10,0,0,2809.63
"203",1930-07-22,2799.63,1.77,0,67.6699999999998,0,67.6699999999998,2801.4
"204",1930-07-23,2733.73,1.84,0,10,0,0,2735.57
"205",1930-07-24,2725.57,1.44,0,10,0,0,2727.01
"206",1930-07-25,2717.01,1.41,0,59.98,0,59.98,2718.42
"207",1930-07-26,2658.44,1.25,0,116.62,0,116.62,2659.69
"208",1930-07-27,2543.07,1.15,0,61.71,0,61.71,2544.22
"209",1930-07-28,2482.51,1.02,0,10,0,0,2483.53
"210",1930-07-29,2473.53,0.98,0,88.2299999999999,0,88.2299999999999,2474.51
"211",1930-07-30,2386.28,0.92,0,95.6799999999999,0,95.6799999999999,2387.2
"212",1930-07-31,2291.52,0.85,0,99.25,0,99.25,2292.37
"213",1930-08-01,2193.12,0.95,0,139.62,0,139.62,2194.07
"214",1930-08-02,2054.45,0.95,0,135.19,0,135.19,2055.4
"215",1930-08-03,1920.21,0.89,0,120.17,0,120.17,1921.1
"216",1930-08-04,1800.93,0.79,0,54.1500000000001,0,54.1500000000001,1801.72
"217",1930-08-05,1747.57,0.75,0,81.8599999999999,0,81.8599999999999,1748.32
"218",1930-08-06,1666.46,0.75,0,129.45,0,129.45,1667.21
"219",1930-08-07,1537.76,0.75,0,118.8,0,118.8,1538.51
"220",1930-08-08,1419.71,0.79,0,15.9,0,15.9,1420.5
"221",1930-08-09,1404.6,0.75,0,109.6,0,109.6,1405.35
"222",1930-08-10,1295.75,0.72,0,161.62,0,161.62,1296.47
"223",1930-08-11,1134.85,0.66,0,36.62,0,36.62,1135.51
"224",1930-08-12,1098.89,0.59,0,73.51,0,73.51,1099.48
"225",1930-08-13,1025.97,0.66,0,72.52,0,72.52,1026.63
"226",1930-08-14,954.110000000002,0.79,0,68.6999999999999,0,68.6999999999999,954.900000000002
"227",1930-08-15,886.200000000002,1.44,0,113.48,0,113.48,887.640000000002
"228",1930-08-16,774.160000000002,1.15,0,117.24,0,117.24,775.310000000002
"229",1930-08-17,658.070000000002,1.05,0,120.63,0,120.63,659.120000000002
"230",1930-08-18,538.490000000002,1.31,0,67.77,0,67.77,539.800000000002
"231",1930-08-19,472.030000000002,1.05,0,37.7899999999999,0,37.7899999999999,473.080000000002
"232",1930-08-20,435.290000000002,0.95,0,84.92,0,84.92,436.240000000002
"233",1930-08-21,351.320000000002,0.95,0,88.61,0,88.61,352.270000000002
"234",1930-08-22,263.660000000002,0.95,0,125.88,0,125.88,264.610000000002
"235",1930-08-23,138.730000000002,1.02,0,102.95,0,102.95,139.750000000002
"236",1930-08-24,36.8000000000023,1.02,0,37.8200000000023,0,131.39,37.8200000000023
"237",1930-08-25,0,0.92,0,0.92,0,111.65,0.92
"238",1930-08-26,0,0.82,0,0.82,0,128.57,0.82
"239",1930-08-27,0,0.98,0,0.98,0,114.87,0.98
