"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",2038-01-01,7470,194.9,70,115.9,70,0,7594.9
"2",2038-01-02,7479,174.3,79.9183,94.3816999999999,79.9183,0,7573.3817
"3",2038-01-03,7479,162,79.18,82.8199999999997,79.18,0,7561.82
"4",2038-01-04,7479,155.5,78.11,77.3900000000003,78.11,0,7556.39
"5",2038-01-05,7479,142,78.11,63.8900000000003,78.11,0,7542.89
"6",2038-01-06,7479,130.1,74.9,55.2000000000007,74.9,0,7534.2
"7",2038-01-07,7479,123.3,75.97,47.3299999999999,75.97,0,7526.33
"8",2038-01-08,7479,8797,78.11,8718.89,78.11,0,16197.89
"9",2038-01-09,7479,2388.5,73.83,2314.67,73.83,0,9793.67
"10",2038-01-10,7479,1276.3,74.9,1201.4,74.9,0,8680.4
"11",2038-01-11,7479,530.8,73.83,456.97,73.83,0,7935.97
"12",2038-01-12,7479,336.3,73.83,262.47,73.83,0,7741.47
"13",2038-01-13,7479,258.8,72.76,186.04,72.76,0,7665.04
"14",2038-01-14,7479,234.9,74.9,160,74.9,0,7639
"15",2038-01-15,7479,235.3,77.04,158.26,77.04,0,7637.26
"16",2038-01-16,7479,8797.6,75.97,8721.63,75.97,0,16200.63
"17",2038-01-17,7479,964.9,80.25,884.65,80.25,0,8363.65
"18",2038-01-18,7479,565.8,80.25,485.55,80.25,0,7964.55
"19",2038-01-19,7479,401.7,79.18,322.52,79.18,0,7801.52
"20",2038-01-20,7479,317.7,79.18,238.52,79.18,0,7717.52
"21",2038-01-21,7479,284.3,80.25,204.05,80.25,0,7683.05
"22",2038-01-22,7479,252.8,82.39,170.41,82.39,0,7649.41
"23",2038-01-23,7479,956.9,78.11,878.789999999999,78.11,0,8357.79
"24",2038-01-24,7479,2973.7,80.25,2893.45,80.25,0,10372.45
"25",2038-01-25,7479,3233.7,80.25,3153.45,80.25,0,10632.45
"26",2038-01-26,7479,1542.3,80.25,1462.05,80.25,0,8941.05
"27",2038-01-27,7479,911.3,79.18,832.119999999999,79.18,0,8311.12
"28",2038-01-28,7479,7909.8,79.18,7830.62,79.18,0,15309.62
"29",2038-01-29,7479,14608.7,80.25,14528.45,80.25,0,22007.45
"30",2038-01-30,7479,4023.2,79.18,3944.02,79.18,0,11423.02
"31",2038-01-31,7479,1448.1,77.04,1371.06,77.04,0,8850.06
"32",2038-02-01,7479,1012.2,75.97,936.230000000001,75.97,0,8415.23
