"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",2019-01-01,3987,5,5,200,5,3,3987
"2",2019-01-02,3787,5,0,5,0,0,3792
"3",2019-01-03,3787,5,0,5,0,0,3792
"4",2019-01-04,3787,5,0,5,0,0,3792
"5",2019-01-05,3787,5,0,5,0,0,3792
"6",2019-01-06,3787,4,0,4,0,0,3791
"7",2019-01-07,3787,5,0,5,0,0,3792
"8",2019-01-08,3787,15,0,15,0,0,3802
"9",2019-01-09,3787,10,0,10,0,0,3797
"10",2019-01-10,3787,6,0,6,0,0,3793
"11",2019-01-11,3787,5,0,5,0,0,3792
"12",2019-01-12,3787,5,0,5,0,0,3792
"13",2019-01-13,3787,4,0,4,0,0,3791
"14",2019-01-14,3787,4,0,4,0,0,3791
"15",2019-01-15,3787,13,0,13,0,0,3800
"16",2019-01-16,3787,33,0,33,0,0,3820
"17",2019-01-17,3787,18,0,18,0,0,3805
"18",2019-01-18,3787,13,0,13,0,0,3800
"19",2019-01-19,3787,9,0,9,0,0,3796
"20",2019-01-20,3787,9,0,9,0,0,3796
"21",2019-01-21,3787,8,0,8,0,0,3795
"22",2019-01-22,3787,7,0,7,0,0,3794
"23",2019-01-23,3787,89.1,0,89.1,0,0,3876.1
"24",2019-01-24,3787,48,0,48,0,0,3835
"25",2019-01-25,3787,30,0,30,0,0,3817
"26",2019-01-26,3787,18,0,18,0,0,3805
"27",2019-01-27,3787,20,0,20,0,0,3807
"28",2019-01-28,3787,182.2,0,182.2,0,0,3969.2
"29",2019-01-29,3787,154.2,0,154.2,0,0,3941.2
"30",2019-01-30,3787,47.1,0,47.1,0,0,3834.1
"31",2019-01-31,3787,31,0,31,0,0,3818
"32",2019-02-01,3787,24,0,24,0,0,3811
"33",2019-02-02,3787,21,0,21,0,0,3808
"34",2019-02-03,3787,19,0,19,0,0,3806
"35",2019-02-04,3787,182,0,182,0,0,3969
"36",2019-02-05,3787,227.2,0,227.2,0,0,4014.2
"37",2019-02-06,3787,71.1,0,71.1,0,0,3858.1
"38",2019-02-07,3787,41,0,41,0,0,3828
"39",2019-02-08,3787,29.1,0,29.1,0,0,3816.1
"40",2019-02-09,3787,22,0,22,0,0,3809
"41",2019-02-10,3787,21,0,21,0,0,3808
"42",2019-02-11,3787,20,0,20,0,0,3807
"43",2019-02-12,3787,30,0,30,0,0,3817
"44",2019-02-13,3787,21,0,21,0,0,3808
"45",2019-02-14,3787,19,0,19,0,0,3806
"46",2019-02-15,3787,18,0,18,0,0,3805
"47",2019-02-16,3787,17,0,17,0,0,3804
"48",2019-02-17,3787,32.1,0,32.1,0,0,3819.1
"49",2019-02-18,3787,43,0,43,0,0,3830
"50",2019-02-19,3787,35.1,0,35.1,0,0,3822.1
"51",2019-02-20,3787,25,0,25,0,0,3812
"52",2019-02-21,3787,23,0,23,0,0,3810
"53",2019-02-22,3787,21,0,21,0,0,3808
"54",2019-02-23,3787,38.1,0,38.1,0,0,3825.1
"55",2019-02-24,3787,74,0,74,0,0,3861
"56",2019-02-25,3787,44,0,44,0,0,3831
"57",2019-02-26,3787,32,0,32,0,0,3819
"58",2019-02-27,3787,27,0,27,0,0,3814
"59",2019-02-28,3787,26,0,26,0,0,3813
"60",2019-03-01,3787,24,0,24,0,0,3811
"61",2019-03-02,3787,23.3,0,23.3,0,0,3810.3
"62",2019-03-03,3787,32.2,0,32.2,0,0,3819.2
"63",2019-03-04,3787,27,0,27,0,0,3814
"64",2019-03-05,3787,25,0,25,0,0,3812
"65",2019-03-06,3787,24,0,24,0,0,3811
"66",2019-03-07,3787,23,0,23,0,0,3810
"67",2019-03-08,3787,26,0,26,0,0,3813
"68",2019-03-09,3787,69,0,69,0,0,3856
"69",2019-03-10,3787,36.1,0,36.1,0,0,3823.1
"70",2019-03-11,3787,28,0,28,0,0,3815
"71",2019-03-12,3787,26,0,26,0,0,3813
"72",2019-03-13,3787,24,0,24,0,0,3811
"73",2019-03-14,3787,22,0,22,0,0,3809
"74",2019-03-15,3787,22,0,22,0,0,3809
"75",2019-03-16,3787,21.4,0,21.4,0,0,3808.4
"76",2019-03-17,3787,21,0,21,0,0,3808
"77",2019-03-18,3787,26,0,26,0,0,3813
"78",2019-03-19,3787,88.1,0,88.1,0,0,3875.1
"79",2019-03-20,3787,42,0,42,0,0,3829
"80",2019-03-21,3787,169,0,169,0,0,3956
"81",2019-03-22,3787,66.2,0,66.2,0,0,3853.2
"82",2019-03-23,3787,44,0,44,0,0,3831
"83",2019-03-24,3787,33,0,33,0,0,3820
"84",2019-03-25,3787,29,0,29,0,0,3816
"85",2019-03-26,3787,27,0,27,0,0,3814
"86",2019-03-27,3787,24,0,24,0,0,3811
"87",2019-03-28,3787,23,0,23,0,0,3810
"88",2019-03-29,3787,21,0,21,0,0,3808
"89",2019-03-30,3787,21,0,21,0,0,3808
"90",2019-03-31,3787,19,0,19,0,0,3806
"91",2019-04-01,3787,19,0,19,0,0,3806
"92",2019-04-02,3787,32,0,32,0,0,3819
"93",2019-04-03,3787,21,0,21,0,0,3808
"94",2019-04-04,3787,23.4,0,23.4,0,0,3810.4
"95",2019-04-05,3787,21,0,21,0,0,3808
"96",2019-04-06,3787,18,0,18,0,0,3805
"97",2019-04-07,3787,16,0,16,0,0,3803
"98",2019-04-08,3787,15,0,15,0,0,3802
"99",2019-04-09,3787,43,0,43,0,0,3830
"100",2019-04-10,3787,47.2,0,47.2,0,0,3834.2
"101",2019-04-11,3787,26,0,26,0,0,3813
"102",2019-04-12,3787,22,0,22,0,0,3809
"103",2019-04-13,3787,20,0,20,0,0,3807
"104",2019-04-14,3787,16,0,16,0,0,3803
"105",2019-04-15,3787,15.6,0,15.6,0,0,3802.6
"106",2019-04-16,3787,15,0,15,0,0,3802
"107",2019-04-17,3787,17,0,17,0,0,3804
