"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"1",2038-01-01,0,0,0,0,0,0,0,0,3,0
"2",2038-01-02,0,0,0,0,0,0,0,0,3,0
"3",2038-01-03,0,0,0,0,0,0,0,0,3,0
"4",2038-01-04,0,0,0,0,0,0,0,0,3,0
"5",2038-01-05,0,0,0,0,0,0,0,0,3,0
"6",2038-01-06,0,0,0,0,0,0,0,0,2,0
"7",2038-01-07,0,0,0,0,0,0,0,0,2,0
"8",2038-01-08,0,0,0,0,0,0,0,0,2,0
"9",2038-01-09,0,0,0,0,0,0,0,0,2,0
"10",2038-01-10,0,0,0,0,0,0,0,0,2,0
"11",2038-01-11,0,0,0,0,0,0,0,0,2,0
"12",2038-01-12,0,0,0,0,0,0,0,0,3,0
"13",2038-01-13,0,0,0,0,0,0,0,0,2,0
"14",2038-01-14,0,0,0,0,0,0,0,0,2,0
"15",2038-01-15,0,0,0,0,0,0,0,0,2,0
"16",2038-01-16,0,0,0,0,0,0,0,0,2,0
"17",2038-01-17,0,0,0,0,0,0,0,0,2,0
"18",2038-01-18,0,0,0,0,0,0,0,0,2,0
"19",2038-01-19,0,0,0,0,0,0,0,0,2,0
"20",2038-01-20,0,0,0,0,0,0,0,0,2,0
"21",2038-01-21,0,0,0,0,0,0,0,0,2,0
"22",2038-01-22,0,0,0,0,0,0,0,0,1,0
"23",2038-01-23,0,0,0,0,0,0,0,0,1,0
"24",2038-01-24,0,0,0,0,0,0,0,0,1,0
"25",2038-01-25,0,0,0,0,0,0,0,0,0,0
"26",2038-01-26,0,0,0,0,0,0,0,0,0,0
"27",2038-01-27,0,0,0,0,0,0,0,0,0,0
"28",2038-01-28,0,0,0,0,0,0,0,0,0,0
"29",2038-01-29,0,0,0,0,0,0,0,0,0,0
"30",2038-01-30,0,0,0,0,0,0,0,0,0,0
"31",2038-01-31,0,0,0,0,0,0,0,0,0,0
"32",2038-02-01,0,0,0,0,0,0,0,0,0,0
"33",2038-02-02,0,0,0,0,0,0,0,0,0,0
"34",2038-02-03,0,0,0,0,0,0,0,0,0,0
"35",2038-02-04,0,0,0,0,0,0,0,0,0,0
"36",2038-02-05,0,0,0,0,0,0,0,0,0,0
"37",2038-02-06,0,0,0,0,0,0,0,0,0,0
"38",2038-02-07,0,0,0,0,0,0,0,0,0,0
"39",2038-02-08,0,0,0,0,0,0,0,0,0,0
"40",2038-02-09,0,0,0,0,0,0,0,0,0,0
"41",2038-02-10,0,0,0,0,0,0,0,0,0,0
"42",2038-02-11,0,0,0,0,0,0,0,0,0,0
"43",2038-02-12,0,0,0,0,0,0,0,0,0,0
"44",2038-02-13,0,0,0,0,0,0,0,0,0,0
"45",2038-02-14,0,0,0,0,0,0,0,0,0,0
"46",2038-02-15,0,0,0,0,0,0,0,0,0,0
"47",2038-02-16,0,0,0,0,0,0,0,0,0,0
"48",2038-02-17,0,0,0,0,0,0,0,0,0,0
"49",2038-02-18,0,0,0,0,0,0,0,0,0,0
"50",2038-02-19,0,0,0,0,0,0,0,0,0,0
"51",2038-02-20,0,0,0,0,0,0,0,0,0,0
"52",2038-02-21,0,0,0,0,0,0,0,0,0,0
"53",2038-02-22,0,0,0,0,0,0,0,0,0,0
"54",2038-02-23,0,0,0,0,0,0,0,0,0,0
"55",2038-02-24,0,0,0,0,0,0,0,0,0,0
"56",2038-02-25,0,0,0,0,0,0,0,0,0,0
"57",2038-02-26,0,0,0,0,0,0,0,0,0,0
"58",2038-02-27,0,0,0,0,0,0,0,0,0,0
"59",2038-02-28,0,0,0,0,0,0,0,0,0,0
"60",2038-03-01,0,0,0,0,0,0,0,0,0,0
"61",2038-03-02,0,0,0,0,0,0,0,0,0,0
"62",2038-03-03,0,0,0,0,0,0,0,0,0,0
"63",2038-03-04,0,0,0,0,0,0,0,0,0,0
"64",2038-03-05,0,0,0,0,0,0,0,0,0,0
"65",2038-03-06,0,0,0,0,0,0,0,0,0,0
"66",2038-03-07,0,0,0,0,0,0,0,0,0,0
"67",2038-03-08,0,0,0,0,0,0,0,0,0,0
"68",2038-03-09,0,0,0,0,0,0,0,0,0,0
"69",2038-03-10,0,0,0,0,0,0,0,0,0,0
"70",2038-03-11,0,0,0,0,0,0,0,0,0,0
"71",2038-03-12,0,0,0,0,0,0,0,0,0,0
"72",2038-03-13,0,0,0,0,0,0,0,0,0,0
"73",2038-03-14,0,0,0,0,0,0,0,0,0,0
"74",2038-03-15,0,0,0,0,0,0,0,0,0,0
"75",2038-03-16,0,0,0,0,0,0,0,0,0,0
"76",2038-03-17,0,0,0,0,0,0,0,0,0,0
"77",2038-03-18,0,0,0,0,0,0,0,0,0,0
"78",2038-03-19,0,0,0,0,0,0,0,0,0,0
"79",2038-03-20,0,0,0,0,0,0,0,0,0,0
"80",2038-03-21,0,0,0,0,0,0,0,0,0,0
"81",2038-03-22,0,0,0,0,0,0,0,0,0,0
"82",2038-03-23,0,0,0,0,0,0,0,0,0,0
"83",2038-03-24,0,0,0,0,0,0,0,0,0,0
"84",2038-03-25,0,0,0,0,0,0,0,0,0,0
"85",2038-03-26,0,0,0,0,0,0,0,0,0,0
"86",2038-03-27,0,0,0,0,0,0,0,0,0,0
"87",2038-03-28,0,0,0,0,0,0,0,0,0,0
"88",2038-03-29,0,0,0,0,0,0,0,0,0,1
"89",2038-03-30,0,0,0,0,0,0,0,0,0,1
"90",2038-03-31,0,0,0,0,0,0,0,0,0,1
"91",2038-04-01,0,0,0,0,0,0,0,0,0,1
"92",2038-04-02,0,0,0,0,0,0,0,0,0,1
"93",2038-04-03,0,0,0,0,0,0,0,0,0,1
"94",2038-04-04,0,0,0,0,0,0,0,0,0,1
"95",2038-04-05,0,0,0,0,0,0,0,0,0,1
"96",2038-04-06,0,0,0,0,0,0,0,0,0,1
"97",2038-04-07,0,0,0,0,0,0,0,0,0,1
"98",2038-04-08,0,0,0,0,0,0,0,0,0,1
"99",2038-04-09,0,0,0,0,0,0,0,0,0,1
"100",2038-04-10,0,0,0,0,0,0,0,0,0,1
"101",2038-04-11,0,0,0,0,0,0,0,0,0,1
"102",2038-04-12,0,0,0,0,0,0,0,0,0,1
"103",2038-04-13,0,0,0,0,0,0,0,0,0,1
"104",2038-04-14,0,0,0,0,0,0,0,0,0,1
"105",2038-04-15,0,0,0,0,0,0,0,0,0,1
"106",2038-04-16,0,0,0,0,0,0,0,0,0,1
"107",2038-04-17,0,0,0,0,0,0,0,0,0,1
