"","date_time","qad","qav","dQ_va","dQ_md","lfalls_nat","por_nat","below_por","demand","lfalls_adj","lfalls_obs","lfalls_obs_fc9","lfalls_obs_fc1","sen_outflow","sen_outflow_lagged","sen_watershed","jrr_outflow","jrr_outflow_lagged","savage_outflow","savage_outflow_lagged","withdr_pot_fw","withdr_pot_fw_lagged","withdr_pot_wssc","need_0day","need_1day","withdr_pot_wa"
"1",2019-04-01,2019-04-01,9999.9,0,0,10055.8,8177.5,1702.1,300,10055.8,9755.8,1000,1000,0,9,0,120,129,50,50,100,100,100,0,0,100
"2",2019-04-02,2019-04-02,77.6,0,0,10896.7,8356.9,3161,452.37965,11040.7,NA,NA,NA,32,NA,0,77.6,120,15.52,24,130.48565,NA,125.447,0,0,190.447
"3",2019-04-03,2019-04-03,77.6,0,0,11562.6,8259.6,2716.7,457.205325,11706.6,NA,NA,NA,21,NA,0,77.6,120,15.52,24,130.882325,NA,129.876,0,0,190.447
"4",2019-04-04,2019-04-04,77.6,0,0,11048.4,7466.8,2007.6,467.75645,11192.4,NA,NA,NA,23.4000000000001,NA,0,77.6,120,15.52,24,132.57545,NA,138.734,0,0,190.447
"5",2019-04-05,2019-04-05,77.6,0,0,9898.5,7175.4,1743.8,456.3335,10042.5,NA,NA,NA,21,NA,0,77.6,120,15.52,24,127.796,NA,133.19775,0,0,189.33975
"6",2019-04-06,2019-04-06,77.6,0,0,9618,7046.9,1549,426.4657,9762,NA,NA,NA,18,NA,0,77.6,120,15.52,24,120.0732,NA,116.589,0,0,183.8035
"7",2019-04-07,2019-04-07,77.6,0,0,9268.2,6813.3,1394.6,442.94975,9412.2,NA,NA,NA,16,NA,0,77.6,120,15.52,24,124.3775,NA,124.33975,0,0,188.2325
"8",2019-04-08,2019-04-08,77.6,0,0,8836.3,6719.1,1327.3,468.9884,8980.3,NA,NA,NA,15,NA,0,77.6,120,15.52,24,130.48565,NA,133.19775,0,0,199.305
"9",2019-04-09,2019-04-09,77.6,0,0,9616.2,6718.5,2230.5,466.630925,9760.2,NA,NA,NA,43,NA,0,77.6,120,15.52,24,128.128175,NA,134.305,0,0,198.19775
"10",2019-04-10,2019-04-10,77.6,0,0,11709.5,8064.4,6010.3,425.247725,11853.5,11466.872075,11372.992075,11466.872075,47.1999999999998,43,0,77.6,120,15.52,24,117.747975,128.128175,122.12525,0,0,179.3745
"11",2019-04-11,2019-04-11,77.6,0,0,13282.7,8885,4879.4,429.487525,13375.82,13000.450525,12953.250525,13000.450525,26,47.1999999999998,0,77.6,77.6,15.52,15.52,118.666025,117.747975,127.6615,0,0,177.16
"12",2019-04-12,2019-04-12,77.6,0,0,13422.7,10462.4,3010.1,424.062,13515.82,13124.975975,13098.975975,13124.975975,22,26,0,77.6,77.6,15.52,15.52,119.884,118.666025,123.2325,0,0,174.9455
"13",2019-04-13,2019-04-13,77.6,0,0,14006.3,11496.2,2263.8,442.0317,14099.42,13687.8565,13665.8565,13687.8565,20,22,0,77.6,77.6,15.52,15.52,122.3522,119.884,126.55425,0,0,187.12525
"14",2019-04-14,2019-04-14,77.6,0,0,13088.1,9813.1,1876.4,445.939325,13181.22,12762.9738,12742.9738,12762.9738,16,20,0,77.6,77.6,15.52,15.52,124.045325,122.3522,127.6615,0,0,188.2325
"15",2019-04-15,2019-04-15,77.6,0,0,11828.2,8696.5,1714.4,424.361925,11921.32,11513.989425,11497.989425,11513.989425,15.5999999999999,16,0,77.6,77.6,15.52,15.52,119.076675,124.045325,116.589,0,0,182.69625
"16",2019-04-16,2019-04-16,77.6,0,0,10757.4,7257.7,1638.5,427.683675,10850.52,10445.543575,10429.943575,10445.543575,15,15.5999999999999,0,77.6,77.6,15.52,15.52,120.183925,119.076675,118.8035,0,0,182.69625
"17",2019-04-17,2019-04-17,77.6,0,0,9809.4,6868.4,1492.5,425.722875,9902.52,9498.050825,9483.050825,9498.050825,17,15,0,77.6,77.6,15.52,15.52,120.437625,120.183925,119.91075,0,0,179.3745
"18",2019-04-18,2019-04-18,77.6,0,0,9011.5,6591.6,1373.8,435.088275,9104.62,8695.253625,8678.253625,8695.253625,17,17,0,77.6,77.6,15.52,15.52,123.159525,120.437625,127.6615,0,0,178.26725
"19",2019-04-19,2019-04-19,77.6,0,0,8516.7,6485.7,1714.1,429.076875,8609.82,8203.267975,8186.267975,8203.267975,27,17,0,77.6,77.6,15.52,15.52,122.684375,123.159525,122.12525,0,0,178.26725
"20",2019-04-20,2019-04-20,77.6,0,0,9694.8,7945.5,4586.4,446.825125,9787.92,9376.341625,9349.341625,9376.341625,39,27,0,77.6,77.6,15.52,15.52,124.931125,122.684375,126.55425,0,0,189.33975
"21",2019-04-21,2019-04-21,77.6,0,0,13643.4,13314.8,4630,420.375825,13736.52,13355.732625,13316.732625,13355.732625,23,39,0,77.6,77.6,15.52,15.52,119.519575,124.931125,116.589,0,0,178.26725
"22",2019-04-22,2019-04-22,77.6,0,0,18375.6,17316.5,3037.3,422.51185,18468.72,18076.236925,18053.236925,18076.236925,21,23,0,77.6,77.6,15.52,15.52,120.54835,119.519575,116.589,0,0,179.3745
"23",2019-04-23,2019-04-23,77.6,0,0,21024,17169.4,2483.9,427.7944,21117.12,20714.96465,20693.96465,20714.96465,19,21,0,77.6,77.6,15.52,15.52,119.1874,120.54835,119.91075,0,0,182.69625
"24",2019-04-24,2019-04-24,77.6,0,0,18579.1,14331.1,2076.1,407.024325,18672.22,18286.03435,18267.03435,18286.03435,17,19,0,77.6,77.6,15.52,15.52,115.026075,119.1874,114.3745,0,0,171.62375
"25",2019-04-25,2019-04-25,77.6,0,0,16222.2,10432.7,1829.4,416.75415,16315.32,15924.652175,15907.652175,15924.652175,16,17,0,77.6,77.6,15.52,15.52,118.1124,115.026075,121.018,0,0,171.62375
"26",2019-04-26,2019-04-26,77.6,0,0,13500.8,8798.6,1671.6,444.08925,13593.92,13179.23535,13163.23535,13179.23535,16,16,0,77.6,77.6,15.52,15.52,125.517,118.1124,128.76875,0,0,183.8035
"27",2019-04-27,2019-04-27,200,0,0,11163.4,8186,1780.5,423.77605,11256.52,10847.71775,10978.59775,10847.71775,17,16,0,200,77.6,40,15.52,118.4908,125.517,118.8035,0,0,180.48175
"28",2019-04-28,2019-04-28,200,0,0,9746.1,8004.9,1909.3,423.14395,9839.22,9440.65845,9570.53845,9440.65845,15,17,0,200,77.6,40,15.52,120.0732,118.4908,116.589,0,0,180.48175
"29",2019-04-29,2019-04-29,200,0,0,9369,8171,1669.3,421.040175,9462.12,9062.19055,9194.07055,9062.19055,14,15,0,200,77.6,40,15.52,120.183925,120.0732,115.48175,0,0,179.3745
"30",2019-04-30,2019-04-30,200,0,0,9137.5,8177.9,1460,438.631475,9230.62,8816.292825,8949.172825,8816.292825,13,14,0,200,77.6,40,15.52,124.488225,120.183925,123.2325,0,0,184.91075
"31",2019-05-01,2019-05-01,200,0,0,9284.1,7853.3,1309.9,474.71815,9377.22,8935.443525,9069.323525,8935.443525,14,13,0,200,77.6,40,15.52,138.4299,124.488225,137.62675,0,0,192.6615
"32",2019-05-02,2019-05-02,200,0,0,9361.3,7056.4,1280.3,473.168,9454.42,9001.91635,9134.79635,9001.91635,20,14,0,200,77.6,40,15.52,139.09425,138.4299,140.9485,0,0,187.12525
"33",2019-05-03,2019-05-03,200,0,0,9404.7,7853.9,2266.2,476.157575,9497.82,9048.4375,9286.07750000005,9048.4375,27.0999999999999,20,0,292.300000000039,77.6,58.4600000000079,15.52,139.869325,139.09425,138.734,0,0,191.55425
